transposal |The act of transposing, or the state of being transposed; transposition.
travail |1. Labor with pain; severe toil or exertion. As everything of price, so this doth require travail. Hooker. 2. Parturition; labor; as, an easy travail.\n\n1. To labor with pain; to toil. [Archaic] \"Slothful persons which will not travail for their livings.\" Latimer. 2. To suffer the pangs of childbirth; to be in labor.\n\nTo harass; to tire. [Obs.] As if all these troubles had not been sufficient to travail the realm, a great division fell among the nobility. Hayward.
travailous |Causing travail; laborious. [Obs.] Wyclif. -- Trav\"ail*ous*ly, adv. [Obs.] Wyclif.
trave |1. (Arch.)  A crossbeam; a lay of joists. Maundrell. 2. A wooden frame to confine an unruly horse or ox while shoeing. She sprung as a colt doth in the trave. Chaucer.
travel |1. To labor; to travail. [Obsoles.] Hooker. 2. To go or march on foot; to walk; as, to travel over the city, or through the streets. 3. To pass by riding, or in any manner, to a distant place, or to many places; to journey; as, a man travels for his health; he is traveling in California. 4. To pass; to go; to move. Time travels in divers paces with divers persons. Shak.\n\n1. To journey over; to traverse; as, to travel the continent. \"I travel this profound.\" Milton. 2. To force to journey. [R.] They shall not be traveled forth of their own franchises. Spenser.\n\n1. The act of traveling, or journeying from place to place; a journey. With long travel I am stiff and weary. Shak. His travels ended at his country seat. Dryden. 2. pl.  An account, by a traveler, of occurrences and observations during a journey; as, a book of travels; -- often used as the title of a book; as, Travels in Italy. 3. (Mach.)  The length of stroke of a reciprocating piece; as, the travel of a slide valve. 4. Labor; parturition; travail. [Obs.]
travel-tainted |Harassed; fatigued with travel. [Obs.] Shak.
traveled |Having made journeys; having gained knowledge or experience by traveling; hence, knowing; experienced. [Written also travelled.] The traveled thane, Athenian Aberdeen. Byron.
traveler |1. One who travels; one who has traveled much. 2. A commercial agent who travels for the purpose of receiving orders for merchants, making collections, etc. 3. (Mach.)  A traveling crane. See under Crane. 4. (Spinning)  The metal loop which travels around the ring surrounding the bobbin, in a ring spinner. 5. (Naut.)  An iron encircling a rope, bar, spar, or the like, and sliding thereon. Traveler's joy (Bot.), the Clematis vitalba, a climbing plant with white flowers. -- Traveler's tree. (Bot.) See Ravenala.
travers |Across; athwart. [Obs.] The earl . . . caused . . . high trees to be hewn down, and laid travers one over another. Ld. Berners.
traversable |1. Capable of being traversed, or passed over; as, a traversable region. 2. Deniable; specifically (Law), liable to legal objection; as, a traversable presentment. Sir M. Hale.
traverse |Lying across; being in a direction across something else; as, paths cut with traverse trenches. Oak . . . being strong in all positions, may be better trusted in cross and traverse work. Sir H. Wotton. The ridges of the fallow field traverse. Hayward. Traverse drill (Mach.), a machine tool for drilling slots, in which the work or tool has a lateral motion back and forth; also, a drilling machine in which the spindle holder can be adjusted laterally.\n\nAthwart; across; crosswise.\n\n1. Anything that traverses, or crosses. Specifically: -- (a) Something that thwarts, crosses, or obstructs; a cross accident; as, he would have succeeded, had it not been for unlucky traverses not under his control. (b) A barrier, sliding door, movable screen, curtain, or the like. Men drinken and the travers draw anon. Chaucer. And the entrance of the king, The first traverse was drawn. F. Beaumont. (c) (Arch.)  A gallery or loft of communication from side to side of a church or other large building. Gwilt. (d) (Fort.) A work thrown up to intercept an enfilade, or reverse fire, along exposed passage, or line of work. (e) (Law) A formal denial of some matter of fact alleged by the opposite party in any stage of the pleadings. The technical words introducing a traverse are absque hoc, without this; that is, without this which follows. (f) (Naut.) The zigzag course or courses made by a ship in passing from one place to another; a compound course. (g) (Geom.) A line lying across a figure or other lines; a transversal. (h) (Surv.) A line surveyed across a plot of ground. (i) (Gun.) The turning of a gun so as to make it point in any desired direction. 2. A turning; a trick; a subterfuge. [Obs.] To work, or solve, a traverse (Naut.), to reduce a series of courses or distances to an equivalent single one; to calculate the resultant of a traverse. -- Traverse board (Naut.), a small board hung in the steerage, having the points of the compass marked on it, and for each point as many holes as there are half hours in a watch. It is used for recording the courses made by the ship in each half hour, by putting a peg in the corresponding hole. -- Traverse jury (Law), a jury that tries cases; a petit jury. -- Traverse sailing (Naut.), a sailing by compound courses; the method or process of finding the resulting course and distance from a series of different shorter courses and distances actually passed over by a ship. -- Traverse table. (a) (Naut. & Surv.) A table by means of which the difference of latitude and departure corresponding to any given course and distance may be found by inspection. It contains the lengths of the two sides of a right-angled triangle, usually for every quarter of a degree of angle, and for lengths of the hypothenuse, from 1 to 100. (b) (Railroad) A platform with one or more tracks, and arranged to move laterally on wheels, for shifting cars, etc., from one line of track to another.\n\n1. To lay in a cross direction; to cross. The parts should be often traversed, or crossed, by the flowing of the folds. Dryden. 2. To cross by way of opposition; to thwart with obstacles; to obstruct; to bring to naught. I can not but . . . admit the force of this reasoning, which I yet hope to traverse. Sir W. Scott. 3. To wander over; to cross in traveling; as, to traverse the habitable globe. What seas you traversed, and what fields you fought. Pope. 4. To pass over and view; to survey carefully. My purpose is to traverse the nature, principles, and properties of this detestable vice -- ingratitude. South. 5. (Gun.)  To turn to the one side or the other, in order to point in any direction; as, to traverse a cannon. 6. (Carp.)  To plane in a direction across the grain of the wood; as, to traverse a board. 7. (Law)  To deny formally, as what the opposite party has alleged. When the plaintiff or defendant advances new matter, he avers it to be true, and traverses what the other party has affirmed. To traverse an indictment or an office is to deny it. And save the expense of long litigious laws, Where suits are traversed, and so little won That he who conquers is but last undone. Dryden. To traverse a yard (Naut.), to brace it fore and aft.\n\n1. To use the posture or motions of opposition or counteraction, as in fencing. To see thee fight, to see thee foin, to see thee traverse. Shak. 2. To turn, as on a pivot; to move round; to swivel; as, the needle of a compass traverses; if it does not traverse well, it is an unsafe guide. 3. To tread or move crosswise, as a horse that throws his croup to one side and his head to the other.
traverse drill |A machine tool for drilling slots, in which the work or tool has a lateral motion back and forth; also, a drilling machine in which the spindle holder can be adjusted laterally.
traverser |1. One who, or that which, traverses, or moves, as an index on a scale, and the like. 2. (Law)  One who traverses, or denies. 3. (Railroad)  A traverse table. See under Traverse, n.
traversing |Adjustable laterally; having a lateral motion, or a swinging motion; adapted for giving lateral motion. Traversing plate (Mil.), one of two thick iron plates at the hinder part of a gun carriage, where the handspike is applied in traversing the piece. Wilhelm. -- Traversing platform (Mil.), a platform for traversing guns.
travertine |A white concretionary form of calcium carbonate, usually hard and semicrystalline. It is deposited from the water of springs or streams holding lime in solution. Extensive deposits exist at Tivoli, near Rome.
travesty |Disguised by dress so as to be ridiculous; travestied; -- applied to a book or shorter composition. [R.]\n\nA burlesque translation or imitation of a work. The second edition is not a recast, but absolutely a travesty of the first. De Quincey.\n\nTo translate, imitate, or represent, so as to render ridiculous or ludicrous. I see poor Lucan travestied, not appareled in his Roman toga, but under the cruel shears of an English tailor. Bentley.
travois |1. A primitive vehicle, common among the North American Indians, usually two trailing poles serving as shafts and bearing a platform or net for a load. On the plains they will have horses dragging travoises; dogs with travoises, women and children loaded with impediments. Julian Ralph. 2.  A logging sled. [Northern U. S. & Canada]
trawl |To take fish, or other marine animals, with a trawl.\n\n1. A fishing line, often extending a mile or more, having many short lines bearing hooks attached to it. It is used for catching cod, halibut, etc.; a boulter. [U. S. & Canada] 2. A large bag net attached to a beam with iron frames at its ends, and dragged at the bottom of the sea, -- used in fishing, and in gathering forms of marine life from the sea bottom.
trawlboat |A boat used in fishing with trawls or trawlnets.
trawler |1. One who, or that which, trawls. 2. A fishing vessel which trails a net behind it.
trawlerman |A fisherman who used unlawful arts and engines to catch fish. [Obs.] Cowell.
trawlnet |Same as Trawl, n., 2.
trawlwarp |A rope passing through a block, used in managing or dragging a trawlnet.
tray |To betray; to deceive. [Obs.] Chaucer.\n\n1. A small trough or wooden vessel, sometimes scooped out of a block of wood, for various domestic uses, as in making bread, chopping meat, etc. 2. A flat, broad vessel on which dishes, glasses, etc., are carried; a waiter; a salver. 3. A shallow box, generally without a top, often used within a chest, trunk, box, etc., as a removable receptacle for small or light articles.
tray-trip |An old game played with dice. [Obs.] Shak.
trayful |As much as a tray will hold; enough to fill a tray.
trays |Traces. [Obs.] Four white bulls in the trays. Chaucer.\n\nSee Trais. Chaucer.
treacher |A traitor; a cheat. [Obs.] Treacher and coward both. Beau. & Fl.
treacherous |Like a traitor; involving treachery; violating allegiance or faith pledged; traitorous to the state or sovereign; perfidious in private life; betraying a trust; faithless. Loyal father of a treacherous son. Shak. The treacherous smile, a mask for secret hate. Cowper. Syn. -- Faithless; perfidious; traitorous; false; insidious; plotting. -- Treach\"er*ous*ly, adv. -- Treach\"er*ous*ness, n.
treachery |Violation of allegiance or of faith and confidence; treasonable or perfidious conduct; perfidy; treason. Be ware, ye lords, of their treachery. Chaucer. In the council chamber at Edinburgh, he had contracted a deep taint of treachery and corruption. Macaulay.
treachetour |A traitor. [Obs.] \"Treachour full of false despite.\" Spenser.
treachour |A traitor. [Obs.] \"Treachour full of false despite.\" Spenser.
treacle |1. (Old Med.)  A remedy against poison. See Theriac, 1. We kill the viper, and make treacle of him. Jer. Taylor. 2. A sovereign remedy; a cure. [Obs.] Christ which is to every harm treacle. Chaucer . 3. Molasses; sometimes, specifically, the molasses which drains from the sugar-refining molds, and which is also called sugarhouse molasses. Note: In the United States molasses is the common name; in England, treacle. 4. A saccharine fluid, consisting of the inspissated juices or decoctions of certain vegetables, as the sap of the birch, sycamore, and the like. Treacle mustard (Bot.), a name given to several species of the cruciferous genus Erysimum, especially the E. cheiranthoides, which was formerly used as an ingredient in Venice treacle, or theriac. -- Treacle water, a compound cordial prepared in different ways from a variety of ingredients, as hartshorn, roots of various plants, flowers, juices of plants, wines, etc., distilled or digested with Venice treacle. It was formerly regarded as a medicine of great virtue. Nares. Venice treacle. (Old Med.) Same as Theriac, 1.
treacly |Like, or composed of, treacle.
tread |1. To set the foot; to step. Where'er you tread, the blushing flowers shall rise. Pope. Fools rush in where angels fear to tread. Pope. The hard stone Under our feet, on which we tread and go. Chaucer. 2. To walk or go; especially, to walk with a stately or a cautious step. Ye that . . . stately tread, or lowly creep. Milton. 3. To copulate; said of birds, esp. the males. Shak. To tread on or upon. (a) To trample; to set the foot on in contempt. \"Thou shalt tread upon their high places.\" Deut. xxxiii. 29. (b) to follow closely. \"Year treads on year.\" Wordsworth. -- To tread upon the heels of, to follow close upon. \"Dreadful consequences that tread upon the heels of those allowances to sin.\" Milton. One woe doth tread upon another's heel. Shak.\n\n1. To step or walk on. Forbid to tread the promised land he saw. Prior. Methought she trod the ground with greater grace. Dryden. 2. To beat or press with the feet; as, to tread a path; to tread land when too light; a well-trodden path. 3. To go through or accomplish by walking, dancing, or the like. \" I am resolved to forsake Malta, tread a pilgrimage to fair Jerusalem.\" Beau. & Fl. They have measured many a mile, To tread a measure with you on this grass. Shak. 4. To crush under the foot; to trample in contempt or hatred; to subdue. Through thy name will we tread them under that rise up against us. Ps. xliv. 5. 5. To copulate with; to feather; to cover; -- said of the male bird. Chaucer. To tread out, to press out with the feet; to press out, as wine or wheat; as, to tread out grain with cattle or horses. -- To tread the stage, to act as a stageplayer; to perform a part in a drama.\n\n1. A step or stepping; pressure with the foot; a footstep; as, a nimble tread; a cautious tread. She is coming, my own, my sweet; Were it ever so airy a tread, My heart would hear her and beat. Tennyson. 2. Manner or style of stepping; action; gait; as, the horse has a good tread. 3. Way; track; path. [R.] Shak. 4. The act of copulation in birds. 5. (Arch.)  The upper horizontal part of a step, on which the foot is placed. 6. (Fort.)  The top of the banquette, on which soldiers stand to fire over the parapet. 7. (Mach.) (a) The part of a wheel that bears upon the road or rail. (b) The part of a rail upon which car wheels bear. 8. (Biol.)  The chalaza of a bird's egg; the treadle. 9. (Far.)  A bruise or abrasion produced on the foot or ankle of a horse that interferes. See Interfere, 3.
tread-softly |Spurge nettle. See under Nettle.
treadboard |See Tread, n., 5.
treader |One who treads. Isa. xvi. 10.
treadfowl |A cock. [Obs.] Chaucer.
treadle |1. The part of a foot lathe, or other machine, which is pressed or moved by the foot. 2. (Biol.)  The chalaza of a bird's egg; the tread.
treadmill |A mill worked by persons treading upon steps on the periphery of a wide wheel having a horizontal axis. It is used principally as a means of prison discipline. Also, a mill worked by horses, dogs, etc., treading an endless belt.
treadwheel |A wheel turned by persons or animals, by treading, climbing, or pushing with the feet, upon its periphery or face. See Treadmill.
treague |A truce. [Obs.] Spenser.
treason |1. The offense of attempting to overthrow the government of the state to which the offender owes allegiance, or of betraying the state into the hands of a foreign power; disloyalty; treachery. The treason of the murthering in the bed. Chaucer. Note: In monarchies, the killing of the sovereign, or an attempt to take his life, is treason. In England, to imagine or compass the death of the king, or of the queen consort, or of the heir apparent to the crown, is high treason, as are many other offenses created by statute. In the United States, treason is confined to the actual levying of war against the United States, or to an adhering to their enemies, giving them aid and comfort. 2. Loosely, the betrayal of any trust or confidence; treachery; perfidy. If he be false, she shall his treason see. Chaucer. Petit treason. See under Petit.
treasonable |Pertaining to treason; consisting of treason; involving the crime of treason, or partaking of its guilt. Most men's heads had been intoxicated with imaginations of plots and treasonable practices. Clarendon. Syn. -- Treacherous; traitorous; perfidious; insidious. -- Trea\"son*a*ble*ness, n. -- Trea\"son*a*bly, adv.
treasonous |Treasonable. Shak. The treasonous book of the Court of King James. Pepys.
treasure |1. Wealth accumulated; especially, a stock, or store of money in reserve. This treasure hath fortune unto us given. Chaucer. 2. A great quantity of anything collected for future use; abundance; plenty. We have treasures in the field, of wheat and of barley, and of oil and of honey. Jer. xli. 8. 3. That which is very much valued. Ye shall be peculiar treasure unto me. Ex. xix. 5. From thy wardrobe bring thy chiefest treasure. Milton. Treasure city, a city for stores and magazines. Ex. i. 11.\n\nTo collect and deposit, as money or other valuable things, for future use; to lay up; to hoard; usually with up; as, to treasure up gold.
treasure-house |A house or building where treasures and stores are kept.
treasure-trove |Any money, bullion, or the like, found in the earth, or otherwise hidden, the owner of which is not known. In England such treasure belongs to the crown; whereas similar treasure found in the sea, or upon the surface of the land, belongs to the finder if no owner appears.
treasurer |One who has the care of a treasure or treasure or treasury; an officer who receives the public money arising from taxes and duties, or other sources of revenue, takes charge of the same, and disburses it upon orders made by the proper authority; one who has charge of collected funds; as, the treasurer of a society or corporation. Lord high treasurer of England, formerly, the third great officer of the crown. His office is now executed by five persons styled the lords commissioners of the treasury, or treasury lords.
treasurership |The office of treasurer.
treasuress |A woman who is a treasurer. [R.]
treasury |1. A place or building in which stores of wealth are deposited; especially, a place where public revenues are deposited and kept, and where money is disbursed to defray the expenses of government; hence, also, the place of deposit and disbursement of any collected funds. 2. That department of a government which has charge of the finances. 3. A repository of abundance; a storehouse. 4. Hence, a book or work containing much valuable knowledge, wisdom, wit, or the like; a thesaurus; as, \" Maunder's Treasury of Botany.\" 5. A treasure. [Obs.] Marston. Board of treasury, the board to which is intrusted the management of all matters relating to the sovereign's civil list or other revenues. [Eng.] Brande & C. -- Treasury bench, the first row of seats on the right hand of the Speaker in the House of Commons; -- so called because occupied by the first lord of the treasury and chief minister of the crown. [Eng.] -- Treasury lord. See Lord high treasurer of England, under Treasurer. [Eng.] -- Treasury note (U. S. Finance), a circulating note or bill issued by government authority from the Treasury Department, and receivable in payment of dues to the government.
treasury stock |Issued stock of an incorporated company held by the company itself.
treat |1. To handle; to manage; to use; to bear one's self toward; as, to treat prisoners cruelly; to treat children kindly. 2. To discourse on; to handle in a particular manner, in writing or speaking; as, to treat a subject diffusely. 3. To entertain with food or drink, especially the latter, as a compliment, or as an expression of friendship or regard; as, to treat the whole company. 4. To negotiate; to settle; to make terms for. [Obs.] To treat the peace, a hundred senators Shall be commissioned. Dryden. 5. (Med.)  To care for medicinally or surgically; to manage in the use of remedies or appliances; as, to treat a disease, a wound, or a patient. 6. To subject to some action; to apply something to; as, to treat a substance with sulphuric acid. Ure. 7. To entreat; to beseech. [Obs.] Ld. Berners.\n\n1. To discourse; to handle a subject in writing or speaking; to make discussion; -- usually with of; as, Cicero treats of old age and of duties. And, shortly of this story for to treat. Chaucer. Now of love they treat. Milton. 2. To negotiate; to come to terms of accommodation; -- often followed by with; as, envoys were appointed to treat with France. Inform us, will the emperor treat! Swift. 3. To give a gratuitous entertainment, esp. of food or drink, as a compliment.\n\n1. A parley; a conference. [Obs.] Bid him battle without further treat. Spenser. 2. An entertainment given as an expression of regard. 3. That which affords entertainment; a gratification; a satisfaction; as, the concert was a rich treat.
treatable |Manageable; tractable; hence, moderate; not violent. [Obs.] \" A treatable disposition, a strong memory.\" R. Parr. A kind of treatable dissolution. Hooker. The heats or the colds of seasons are less treatable than with us. Sir W. Temple.
treatably |In a treatable manner. [Obs.]
treater |One who treats; one who handles, or discourses on, a subject; also, one who entertains.
treatise |1. A written composition on a particular subject, in which its principles are discussed or explained; a tract. Chaucer. He published a treatise in which he maintained that a marriage between a member of the Church of England and a dissenter was a nullity. Macaulay. Note: A treatise implies more form and method than an essay, but may fall short of the fullness and completeness of a systematic exposition. 2. Story; discourse. [R.] Shak.
treatiser |One who writes a treatise. [Obs.]
treatment |1. The act or manner of treating; management; manipulation; handling; usage; as, unkind treatment; medical treatment. 2. Entertainment; treat. [Obs.] Accept such treatment as a swain affords. Pope.
treature |Treatment. [Obs.] Fabyan.
treaty |1. The act of treating for the adjustment of differences, as for forming an agreement; negotiation. \"By sly and wise treaty.\" Chaucer. He cast by treaty and by trains Her to persuade. Spenser. 2. An agreement so made; specifically, an agreement, league, or contract between two or more nations or sovereigns, formally signed by commissioners properly authorized, and solemnly ratified by the several sovereigns, or the supreme power of each state; an agreement between two or more independent states; as, a treaty of peace; a treaty of alliance. 3. A proposal tending to an agreement. [Obs.] Shak. 4. A treatise; a tract. [Obs.] Sir T. Browne.
