divestment |The act of divesting. [R.]
divination |1. The act of divining; a foreseeing or foretelling of future events; the pretended art discovering secret or future by preternatural means. There shall not be found among you any one that . . . useth divination, or an observer of times, or an enchanter. Deut. xviii. 10. Note: Among the ancient heathen philosophers natural divination was supposed to be effected by a divine afflatus; artificial divination by certain rites, omens, or appearances, as the flight of birds, entrails of animals, etc. 2. An indication of what is future or secret; augury omen; conjectural presage; prediction. Birds which do give a happy divination of things to come. Sir T. North.
divinator |One who practices or pretends to divination; a diviner. [R.] Burton.
divinatory |Professing, or relating to, divination. \"A natural divinatory instinct.\" Cowley.
divine |1. Of or belonging to God; as, divine perfections; the divine will. \"The immensity of the divine nature.\" Paley. 2. Proceeding from God; as, divine judgments. \"Divine protection.\" Bacon. 3. Appropriated to God, or celebrating his praise; religious; pious; holy; as, divine service; divine songs; divine worship. 4. Pertaining to, or proceeding from, a deity; partaking of the nature of a god or the gods. \"The divine Apollo said.\" Shak. 5. Godlike; heavenly; excellent in the highest degree; supremely admirable; apparently above what is human. In this application, the word admits of comparison; as, the divinest mind. Sir J. Davies. \"The divine Desdemona.\" Shak. A divine sentence is in the lips of the king. Prov. xvi. 10. But not to one in this benighted age Is that diviner inspiration given. Gray. 6. Presageful; foreboding; prescient. [Obs.] Yet oft his heart, divine of something ill, Misgave him. Milton. 7. Relating to divinity or theology. Church history and other divine learning. South. Syn. -- Supernatural; superhuman; godlike; heavenly; celestial; pious; holy; sacred; preëminent.\n\n1. One skilled in divinity; a theologian. \"Poets were the first divines.\" Denham. 2. A minister of the gospel; a priest; a clergyman. The first divines of New England were surpassed by none in extensive erudition. J. Woodbridge.\n\n1. To foresee or foreknow; to detect; to anticipate; to conjecture. A sagacity which divined the evil designs. Bancroft. 2. To foretell; to predict; to presage. Darest thou . . . divine his downfall Shak. 3. To render divine; to deify. [Obs.] Living on earth like angel new divined. Spenser. Syn. -- To foretell; predict; presage; prophesy; prognosticate; forebode; guess; conjecture; surmise.\n\n1. To use or practice divination; to foretell by divination; to utter prognostications. The prophets thereof divine for money. Micah iii. 11. 2. To have or feel a presage or foreboding. Suggest but truth to my divining thoughts. Shak. 3. To conjecture or guess; as, to divine rightly.
divinely |1. In a divine or godlike manner; holily; admirably or excellently in a supreme degree. Most divinely fair. Tennyson. 2. By the agency or influence of God. Divinely set apart . . . to be a preacher of righteousness. Macaulay.
divinement |Divination. [Obs.]
divineness |The quality of being divine; superhuman or supreme excellence. Shak.
diviner |1. One who professes divination; one who pretends to predict events, or to reveal occult things, by supernatural means. The diviners have seen a lie, and have told false dreams; they comfort in vain. Zech. x. 2. 2. A conjecture; a guesser; one who makes out occult things. Locke.
divineress |A woman who divines. Dryden.
diving |That dives or is used or diving. Diving beetle (Zoöl.), any beetle of the family Dytiscidæ, which habitually lives under water; - - called also water tiger. -- Diving bell, a hollow inverted vessel, sometimes bell-shaped, in which men may descend and work under water, respiration being sustained by the compressed air at the top, by fresh air pumped in through a tube from above. -- Diving dress. See Submarine armor, under Submarine. -- Diving stone, a kind of jasper.
divinify |To render divine; to deify. [Obs.] \"Blessed and divinified soul.\" Parth. Sacra (1633).
divining |That divines; for divining. Divining rod, a rod, commonly of witch hazel, with forked branches, used by those who pretend to discover water or metals under ground.
diviningly |In a divining manner.
divinistre |A diviner. [Obs.] \" I am no divinistre.\" Chaucer.
divinity |1. The state of being divine; the nature or essence of God; deity; godhead. When he attributes divinity to other things than God, it is only a divinity by way of participation. Bp. Stillingfleet. 2. The Deity; the Supreme Being; God. This the divinity that within us. Addison. 3. A pretended deity of pagans; a false god. Beastly divinities, and droves of gods. Prior. 4. A celestial being, inferior to the supreme God, but superior to man. God . . . employing these subservient divinities. Cheyne. 5. Something divine or superhuman; supernatural power or virtue; something which inspires awe. They say there is divinity in odd numbers. Shak. There's such divinity doth hedge a king. Shak. 6. The science of divine things; the science which treats of God, his laws and moral government, and the way of salvation; theology. Divinity is essentially the first of the professions. Coleridge. , casuistry.
divinity calf |Calf stained dark brown and worked without gilding, often used for theological books.
divinization |A making divine. M. Arnold.
divinize |To invest with a divine character; to deify. [R.] M. Arnold. Man had divinized all those objects of awe. Milman.
divisibility |The quality of being divisible; the property of bodies by which their parts are capable of separation. Divisibility . . . is a primary attribute of matter. Sir W. Hamilton.
divisible |Capable of being divided or separated. Extended substance . . . is divisible into parts. Sir W. Hamilton. Divisible contract (Law), a contract containing agreements one of which can be separated from the other. -- Divisible offense (Law), an offense containing a lesser offense in one of a greater grade, so that on the latter there can be an acquittal, while on the former there can be a conviction. -- Di*vis\"i*ble*ness, n. -- Di*vis\"i*bly, adv.\n\nA divisible substance. Glanvill.
division |1. The act or process of diving anything into parts, or the state of being so divided; separation. I was overlooked in the division of the spoil. Gibbon. 2. That which divides or keeps apart; a partition. 3. The portion separated by the divining of a mass or body; a distinct segment or section. Communities and divisions of men. Addison. 4. Disunion; difference in opinion or feeling; discord; variance; alienation. There was a division among the people. John vii. 43. 5. Difference of condition; state of distinction; distinction; contrast. Chaucer. I will put a division between my people and thy people. Ex. viii. 23. 6. Separation of the members of a deliberative body, esp. of the Houses of Parliament, to ascertain the vote. The motion passed without a division. Macaulay. 7. (Math.)  The process of finding how many times one number or quantity is contained in another; the reverse of multiplication; also, the rule by which the operation is performed. 8. (Logic)  The separation of a genus into its constituent species. 9. (Mil.) (a) Two or more brigades under the command of a general officer. (b) Two companies of infantry maneuvering as one subdivision of a battalion. (c) One of the larger districts into which a country is divided for administering military affairs. 10. (Naut.)  One of the groups into which a fleet is divided. 11. (Mus.)  A course of notes so running into each other as to form one series or chain, to be sung in one breath to one syllable. 12. (Rhet.)  The distribution of a discourse into parts; a part so distinguished. 13. (Biol.)  A grade or rank in classification; a portion of a tribe or of a class; or, in some recent authorities, equivalent to a subkingdom. Cell division (Biol.), a method of cell increase, in which new cells are formed by the division of the parent cell. In this process, the cell nucleus undergoes peculiar differentiations and changes, as shown in the figure (see also Karyokinesis). At the same time the protoplasm of the cell becomes gradually constricted by a furrow transverse to the long axis of the nuclear spindle, followed, on the completion of the division of the nucleus, by a separation of the cell contents into two masses, called the daughter cells. -- Long division (Math.), the process of division when the operations are mostly written down. -- Short division (Math.), the process of division when the operations are mentally performed and only the results written down; -- used principally when the divisor is not greater than ten or twelve. Syn. -- compartment; section; share; allotment; distribution; separation; partition; disjunction; disconnection; difference; variance; discord; disunion.
divisional |That divides; pas, a divisional line; a divisional general; a divisional surgeon of police. Divisional planes (Geol.), planes of separation between rock masses. They include joints.
divisionally |So as to be divisional.
divisionary |Divisional.
divisionor |One who divides or makes division. [Obs.] Sheldon.
divisive |1. Indicating division or distribution. Mede. 2. Creating, or tending to create, division, separation, or difference. It [culture] is after all a dainty and divisive quality, and can not reach to the depths of humanity. J. C. Shairp. -- Di*vi\"sive*ly, adv. -- Di*vi\"sive*ness, n. Carlyle.
divisor |The number by which the dividend is divided. Common divisor. (Math.) See under Common, a.
divorce |1. (Law) (a) A legal dissolution of the marriage contract by a court or other body having competent authority. This is properly a divorce, and called, technically, divorce a vinculo matrimonii. \"from the bond of matrimony.\" (b) The separation of a married woman from the bed and board of her husband -- divorce a mensa et toro (or thoro), \"from bed board.\" 2. The decree or writing by which marriage is dissolved. 3. Separation; disunion of things closely united. To make divorce of their incorporate league. Shak. 4. That which separates. [Obs.] Shak. Bill of divorce. See under Bill.\n\n1. To dissolve the marriage contract of, either wholly or partially; to separate by divorce. 2. To separate or disunite; to sunder. It [a word] was divorced from its old sense. Earle. 3. To make away; to put away. Nothing but death Shall e'er divorce my dignities. Shak.
divorceable |Capable of being divorced.
divorcee |A person divorced.
divorceless |Incapable of being divorced or separated; free from divorce.
divorcement |Dissolution of the marriage tie; divorce; separation. Let him write her a divorcement. Deut. xxiv. 1. The divorcement of our written from our spoken language. R. Morris.
divorcer |The person or cause that produces or effects a divorce. Drummond.
divorcible |Divorceable. Milton.
divorcive |Having power to divorce; tending to divorce. \"This divorcive law.\" Milton.
divot |A thin, oblong turf used for covering cottages, and also for fuel. [Scot.] Simmonds.
divulgate |Published. [Obs.] Bale.\n\nTo divulge. [Obs.] Foxe.
divulgater |A divulger. [R.]
divulgation |The act of divulging or publishing. [R.] Secrecy hath no use than divulgation. Bp. Hall.
divulge |1. To make public; to several or communicate to the public; to tell (a secret) so that it may become generally known; to disclose; -- said of that which had been confided as a secret, or had been before unknown; as, to divulge a secret. Divulge not such a love as mine. Cowper. 2. To indicate publicly; to proclaim. [R.] God . . . marks The just man, and divulges him through heaven. Milton. 3. To impart; to communicate. Which would not be To them [animals] made common and divulged. Milton. Syn. -- To publish; disclose; discover; uncover; reveal; communicate; impart; tell.\n\nTo become publicly known. [R.] \"To keep it from divulging.\" Shak.
divulsive |Tending to pull asunder, tear, or rend; distracting.
dixie |A colloquial name for the Southern portion of the United States, esp. during the Civil War. [U.S.]
dizen |1. To dress; to attire. [Obs.] Beau. & Fl. 2. To dress gaudily; to overdress; to bedizen; to deck out. Like a tragedy queen, he has dizened her out. Goldsmith. To-morrow when the masks shall fall That dizen Nature's carnival. Emerson.
dizz |To make dizzy; to astonish; to puzzle. [Obs.] Gayton.
dizzard |A blockhead. [Obs.] [Written also dizard, and disard.] -- Diz\"zard*ly, adv. [Obs.]
dizzily |In a dizzy manner or state.
dizziness |Giddiness; a whirling sensation in the head; vertigo.
dizzy |1. Having in the head a sensation of whirling, with a tendency to fall; vertiginous; giddy; hence, confused; indistinct. Alas! his brain was dizzy. Drayton. 2. Causing, or tending to cause, giddiness or vertigo. To climb from the brink of Fleet Ditch by a dizzy ladder. Macaulay. 3. Without distinct thought; unreflecting; thoughtless; heedless. \"The dizzy multitude.\" Milton.\n\nTo make dizzy or giddy; to give the vertigo to; to confuse. If the jangling of thy bells had not dizzied thy understanding. Sir W. Scott.
djereed |(a) A blunt javelin used in military games in Moslem countries. (b) A game played with it. [Written also jereed, jerrid, etc.]
djerrid |(a) A blunt javelin used in military games in Moslem countries. (b) A game played with it. [Written also jereed, jerrid, etc.]
djinnee |See Jinnee, Jinn. DO. Do. (, n.  An abbreviation of Ditto.
do |A syllable attached to the first tone of the major diatonic scale for the purpose of solmization, or solfeggio. It is the first of the seven syllables used by the Italians as manes of musical tones, and replaced, for the sake of euphony, the syllable Ut, applied to the note C. In England and America the same syllables are used by mane as a scale pattern, while the tones in respect to absolute pitch are named from the first seven letters of the alphabet.\n\n1. To place; to put. [Obs.] Tale of a Usurer (about 1330). 2. To cause; to make; -- with an infinitive. [Obs.] My lord Abbot of Westminster did do shewe to me late certain evidences. W. Caxton. I shall . . . your cloister do make. Piers Plowman. A fatal plague which many did to die. Spenser. We do you to wit [i. e., We make you to know] of the grace of God bestowed on the churches of Macedonia. 2 Cor. viii. 1. Note: We have lost the idiom shown by the citations (do used like the French faire or laisser), in which the verb in the infinitive apparently, but not really, has a passive signification, i. e., cause . . . to be made. 3. To bring about; to produce, as an effect or result; to effect; to achieve. The neglecting it may do much danger. Shak. He waved indifferently' twixt doing them neither good not harm. Shak. 4. To perform, as an action; to execute; to transact to carry out in action; as, to do a good or a bad act; do our duty; to do what I can. Six days shalt thou labor and do all thy work. Ex. xx. 9. We did not do these things. Ld. Lytton. You can not do wrong without suffering wrong. Emerson. Hence: To do homage, honor, favor, justice, etc., to render homage, honor, etc. 5. To bring to an end by action; to perform completely; to finish; to accomplish; -- a sense conveyed by the construction, which is that of the past participle done. \"Ere summer half be done.\" \"I have done weeping.\" Shak. 6. To make ready for an object, purpose, or use, as food by cooking; to cook completely or sufficiently; as, the meat is done on one side only. 7. To put or bring into a form, state, or condition, especially in the phrases, to do death, to put to death; to slay; to do away (often do away with), to put away; to remove; to do on, to put on; to don; to do off, to take off, as dress; to doff; to do into, to put into the form of; to translate or transform into, as a text. Done to death by slanderous tongues. Shak. The ground of the difficulty is done away. Paley. Suspicions regarding his loyalty were entirely done away. Thackeray. To do on our own harness, that we may not; but we must do on the armor of God. Latimer. Then Jason rose and did on him a fair Blue woolen tunic. W. Morris (Jason). Though the former legal pollution be now done off, yet there is a spiritual contagion in idolatry as much to be shunned. Milton. It [\"Pilgrim's Progress\"] has been done into verse: it has been done into modern English. Macaulay. 8. To cheat; to gull; to overreach. [Colloq.] He was not be done, at his time of life, by frivolous offers of a compromise that might have secured him seventy-five per cent. De Quincey. 9. To see or inspect; to explore; as, to do all the points of interest. [Colloq.] 10. (Stock Exchange)  To cash or to advance money for, as a bill or note. Note: (a) Do and did are much employed as auxiliaries, the verb to which they are joined being an infinitive. As an auxiliary the verb do has no participle. \"I do set my bow in the cloud.\" Gen. ix. 13. [Now archaic or rare except for emphatic assertion.] Rarely . . . did the wrongs of individuals to the knowledge of the public. Macaulay. (b) They are often used in emphatic construction. \"You don't say so, Mr. Jobson. -- but I do say so.\" Sir W. Scott. \"I did love him, but scorn him now.\" Latham. (c) In negative and interrogative constructions, do and did are in common use. I do not wish to see them; what do you think Did Cæsar cross the Tiber He did not. \"Do you love me\" Shak. (d) Do, as an auxiliary, is supposed to have been first used before imperatives. It expresses entreaty or earnest request; as, do help me. In the imperative mood, but not in the indicative, it may be used with the verb to be; as, do be quiet. Do, did, and done often stand as a general substitute or representative verb, and thus save the repetition of the principal verb. \"To live and die is all we have to do.\" Denham. In the case of do and did as auxiliaries, the sense may be completed by the infinitive (without to) of the verb represented. \"When beauty lived and died as flowers do now.\" Shak. \"I . . . chose my wife as she did her wedding gown.\" Goldsmith. My brightest hopes giving dark fears a being. As the light does the shadow. Longfellow. In unemphatic affirmative sentences do is, for the most part, archaic or poetical; as, \"This just reproach their virtue does excite.\" Dryden. To do one's best, To do one's diligence (and the like), to exert one's self; to put forth one's best or most or most diligent efforts. \"We will . . . do our best to gain their assent.\" Jowett (Thucyd.). -- To do one's business, to ruin one. [Colloq.] Wycherley. -- To do one shame, to cause one shame. [Obs.] -- To do over. (a) To make over; to perform a second time. (b) To cover; to spread; to smear. \"Boats . . . sewed together and done over with a kind of slimy stuff like rosin.\" De Foe. -- To do to death, to put to death. (See 7.) [Obs.] -- To do up. (a) To put up; to raise. [Obs.] Chaucer. (b) To pack together and envelop; to pack up. (c) To accomplish thoroughly. [Colloq.] (d) To starch and iron. \"A rich gown of velvet, and a ruff done up with the famous yellow starch.\" Hawthorne. -- To do way, to put away; to lay aside. [Obs.] Chaucer. -- To do with, to dispose of; to make use of; to employ; -- usually preceded by what. \"Men are many times brought to that extremity, that were it not for God they would not know what to do with themselves.\" Tillotson. -- To have to do with, to have concern, business or intercourse with; to deal with. When preceded by what, the notion is usually implied that the affair does not concern the person denoted by the subject of have. \"Philology has to do with language in its fullest sense.\" Earle. \"What have I to do with you, ye sons of Zeruiah 2 Sam. xvi. 10.\n\n1. To act or behave in any manner; to conduct one's self. They fear not the Lord, neither do they after . . . the law and commandment. 2 Kings xvii. 34. 2. To fare; to be, as regards health; as, they asked him how he did; how do you do to-day 3. Etym: [Perh. a different word. OE. dugen, dowen, to avail, be of use, AS. dugan. See Doughty.]  To succeed; to avail; to answer the purpose; to serve; as, if no better plan can be found, he will make this do. You would do well to prefer a bill against all kings and parliaments since the Conquest; and if that won't do; challenge the crown. Collier. To do by. See under By. -- To do for. (a) To answer for; to serve as; to suit. (b) To put an end to; to ruin; to baffle completely; as, a goblet is done for when it is broken. [Colloq.] Some folks are happy and easy in mind when their victim is stabbed and done for. Thackeray. -- To do withal, to help or prevent it. [Obs.] \"I could not do withal.\" Shak. -- To do without, to get along without; to dispense with. -- To have done, to have made an end or conclusion; to have finished; to be quit; to desist. -- To have done with, to have completed; to be through with; to have no further concern with. -- Well to do, in easy circumstances.\n\n1. Deed; act; fear. [Obs.] Sir W. Scott. 2. Ado; bustle; stir; to do. [R.] A great deal of do, and a great deal of trouble. Selden. 3. A cheat; a swindle. [Slang, Eng.]
do-all |General manager; factotum. Under him, Dunstan was the do-all at court, being the king's treasurer, councilor, chancellor, confessor, all things. Fuller.
do-little |One who performs little though professing much. [Colloq.] Great talkers are commonly dolittles. Bp. Richardson.
do-naught |A lazy, good-for-nothing fellow.
do-nothing |Doing nothing; inactive; idle; lazy; as, a do-nothing policy.
do-nothingism |Inactivity; habitual sloth; idleness. [Jocular] Carlyle. Miss Austen.
do-nothingness |Inactivity; habitual sloth; idleness. [Jocular] Carlyle. Miss Austen.
doab |A tongue or tract of land included between two rivers; as, the doab between the Ganges and the Jumna. [India] Am. Cyc.
doable |Capable of being done. Carlyle.
doand |Doing. [Obs.] Rom. of R.
doat |See Dote.
dobber |1. (Zoöl.)  See Dabchick. 2. A float to a fishing line. [Local, U. S.]
dobbin |1. An old jaded horse. Shak. 2. Sea gravel mixed with sand. [Prov. Eng.]
dobby |An apparatus resembling a Jacquard for weaving small figures (usually about 12 - 16 threads, seldom more than 36 - 40 threads).
dobchick |See Dabchick. DOBELL'S SOLUTION Do*bell's\" so*lu\"tion. (Med.)  An aqueous solution of carbolic acid, borax, sodium bicarbonate, and glycerin, used as a spray in diseases of the nose and throat.
dobson |The aquatic larva of a large neuropterous insect (Corydalus cornutus), used as bait in angling. See Hellgamite.
dobule |The European dace.
docent |Serving to instruct; teaching. [Obs.]
docetae |Ancient heretics who held that Christ's body was merely a phantom or appearance.
docetic |Pertaining to, held by, or like, the Docetæ. \"Docetic Gnosticism.\" Plumptre.
docetism |The doctrine of the Docetæ.
dochmiac |Pertaining to, or containing, the dochmius.
dochmius |A foot of five syllables (usually
docibility |Aptness for being taught; teachableness; docility. To persons of docibility, the real character may be easily taught in a few days. Boyle. The docibleness of dogs in general. Walton.
docible |Easily taught or managed; teachable. Milton.
docibleness |Aptness for being taught; teachableness; docility. To persons of docibility, the real character may be easily taught in a few days. Boyle. The docibleness of dogs in general. Walton.
docile |1. Teachable; easy to teach; docible. [Obs.] 2. Disposed to be taught; tractable; easily managed; as, a docile child. The elephant is at once docible and docile. C. J. Smith.
docility |1. teachableness; aptness for being taught; docibleness. [Obs. or R.] 2. Willingness to be taught; tractableness. The humble docility of little children is, in the New Testament, represented as a necessary preparative to the reception of the Christian faith. Beattie.
docimacy |The art or practice of applying tests to ascertain the nature, quality, etc., of objects, as of metals or ores, of medicines, or of facts pertaining to physiology.
docimastic |Proving by experiments or tests. Docimastic art, metallurgy, or the art of assaying metals; the art of separating metals from foreign matters, and determining the nature and quantity of metallic substances contained in any ore or mineral.
docimology |A treatise on the art of testing, as in assaying metals, etc.
docity |Teachableness. [Prov. Eng. & Local, U. S.]
dock |A genus of plants (Rumex), some species of which are well-known weeds which have a long taproot and are difficult of extermination. Note: Yellow dock is Rumex crispus, with smooth curly leaves and yellow root, which that of other species is used medicinally as an astringent and tonic.\n\n1. The solid part of an animal's tail, as distinguished from the hair; the stump of a tail; the part of a tail left after clipping or cutting. Grew. 2. A case of leather to cover the clipped or cut tail of a horse.\n\n1. to cut off, as the end of a thing; to curtail; to cut short; to clip; as, to dock the tail of a horse. His top was docked like a priest biforn. Chaucer. 2. To cut off a part from; to shorten; to deduct from; to subject to a deduction; as, to dock one's wages. 3. To cut off, bar, or destroy; as, to dock an entail.\n\n1. An artificial basin or an inclosure in connection with a harbor or river, -- used for the reception of vessels, and provided with gates for keeping in or shutting out the tide. 2. The slip or water way extending between two piers or projecting wharves, for the reception of ships; -- sometimes including the piers themselves; as, to be down on the dock. 3. The place in court where a criminal or accused person stands. Balance dock, a kind of floating dock which is kept level by pumping water out of, or letting it into, the compartments of side chambers. -- Dry dock, a dock from which the water may be shut or pumped out, especially, one in the form of a chamber having walls and floor, often of masonry and communicating with deep water, but having appliances for excluding it; -- used in constructing or repairing ships. The name includes structures used for the examination, repairing, or building of vessels, as graving docks, floating docks, hydraulic docks, etc. -- Floating dock, a dock which is made to become buoyant, and, by floating, to lift a vessel out of water. -- Graving dock, a dock for holding a ship for graving or cleaning the bottom, etc. -- Hydraulic dock, a dock in which a vessel is raised clear of the water by hydraulic presses. -- Naval dock, a dock connected with which are naval stores, materials, and all conveniences for the construction and repair of ships. -- Sectional dock, a form of floating dock made in separate sections or caissons. -- Slip dock, a dock having a sloping floor that extends from deep water to above high-water mark, and upon which is a railway on which runs a cradle carrying the ship. -- Wet dock, a dock where the water is shut in, and kept at a given level, to facilitate the loading and unloading of ships; -- also sometimes used as a place of safety; a basin.\n\nTo draw, law, or place (a ship) in a dock, for repairing, cleaning the bottom, etc.
dock-cress |Nipplewort.
dockage |A charge for the use of a dock.
docket |1. A small piece of paper or parchment, containing the heads of a writing; a summary or digest. 2. A bill tied to goods, containing some direction, as the name of the owner, or the place to which they are to be sent; a label. Bailey. 3. (Law) (a) An abridged entry of a judgment or proceeding in an action, or register or such entries; a book of original, kept by clerks of courts, containing a formal list of the names of parties, and minutes of the proceedings, in each case in court. (b) (U. S.) A list or calendar of causes ready for hearing or trial, prepared for the use of courts by the clerks. 4. A list or calendar of business matters to be acted on in any assembly. On the docket, in hand; in the plan; under consideration; in process of execution or performance. [Colloq.]\n\n1. To make a brief abstract of (a writing) and indorse it on the back of the paper, or to indorse the title or contents on the back of; to summarize; as, to docket letters and papers. Chesterfield. 2. (Law) (a) To make a brief abstract of and inscribe in a book; as, judgments regularly docketed. (b) To enter or inscribe in a docket, or list of causes for trial. 3. To mark with a ticket; as, to docket goods.
dockyard |A yard or storage place for all sorts of naval stores and timber for shipbuilding.
docoglossa |An order of gastropods, including the true limpets, and having the teeth on the odontophore or lingual ribbon.
docquet |See Docket.
doctor |1. A teacher; one skilled in a profession, or branch of knowledge learned man. [Obs.] One of the doctors of Italy, Nicholas Macciavel. Bacon. 2. An academical title, originally meaning a men so well versed in his department as to be qualified to teach it. Hence: One who has taken the highest degree conferred by a university or college, or has received a diploma of the highest degree; as, a doctor of divinity, of law, of medicine, of music, or of philosophy. Such diplomas may confer an honorary title only. 3. One duly licensed to practice medicine; a member of the medical profession; a physician. By medicine life may be prolonged, yet death Will seize the doctor too. Shak. 4. Any mechanical contrivance intended to remedy a difficulty or serve some purpose in an exigency; as, the doctor of a calico- printing machine, which is a knife to remove superfluous coloring matter; the doctor, or auxiliary engine, called also donkey engine. 5. (Zoöl.)  The friar skate. [Prov. Eng.] Doctors' Commons. See under Commons. -- Doctor's stuff, physic, medicine. G. Eliot. -- Doctor fish (Zoöl.), any fish of the genus Acanthurus; the surgeon fish; -- so called from a sharp lancetlike spine on each side of the tail. Also called barber fish. See Surgeon fish.\n\n1. To treat as a physician does; to apply remedies to; to repair; as, to doctor a sick man or a broken cart. [Colloq.] 2. To confer a doctorate upon; to make a doctor. 3. To tamper with and arrange for one's own purposes; to falsify; to adulterate; as, to doctor election returns; to doctor whisky. [Slang]\n\nTo practice physic. [Colloq.]
doctoral |Of or relating to a doctor, or to the degree of doctor. Doctoral habit and square cap. Wood.
doctorally |In the manner of a doctor.[R.]
doctorate |The degree, title, or rank, of a doctor.\n\nTo make (one) a doctor. He was bred . . . in Oxford and there doctorated. Fuller.
doctoress |A female doctor.[R.]
doctorly |Like a doctor or learned man. [Obs.] \"Doctorly prelates.\" Foxe.
doctorship |Doctorate. [R.] Clarendon.
doctress |A female doctor. [R.]
doctrinable |Of the nature of, or constituting, doctrine. [Obs.] Sir P. Sidney.
doctrinaire |One who would apply to political or other practical concerns the abstract doctrines or the theories of his own philosophical system; a propounder of a new set of opinions; a dogmatic theorist. Used also adjectively; as, doctrinaire notions. Note: In french history, the Doctrinaires were a constitutionalist party which originated after the restoration of the Bourbons, and represented the interests of liberalism and progress. After the Revolution of July, 1830, when they came into power, they assumed a conservative position in antagonism with the republicans and radicals. Am. Cyc.
doctrinal |1. Pertaining to, or containing, doctrine or something taught and to be believed; as, a doctrinal observation. \"Doctrinal clauses.\" Macaulay. 2. Pertaining to, or having to do with, teaching. The word of God serveth no otherwise than in the nature of a doctrinal instrument. Hooker.\n\nA matter of doctrine; also, a system of doctrines. T. Goodwin. Sir T. Elyot.
doctrinally |In a doctrinal manner or for; by way of teaching or positive direction.
doctrinarian |A doctrinaire. J. H. Newman.
doctrinarianism |The principles or practices of the Doctrinaires.
