eyliad |See Eiliad.
fable |1. A Feigned story or tale, intended to instruct or amuse; a fictitious narration intended to enforce some useful truth or precept; an apologue. See the Note under Apologue. Jotham's fable of the trees is the oldest extant. Addison . 2. The plot, story, or connected series of events, forming the subject of an epic or dramatic poem. The moral is the first business of the poet; this being formed, he contrives such a design or fable as may be most suitable to the moral. Dryden. 3. Any story told to excite wonder; common talk; the theme of talk. \"Old wives' fables. \" 1 Tim. iv. 7. We grew The fable of the city where we dwelt. Tennyson. 4. Fiction; untruth; falsehood. It would look like a fable to report that this gentleman gives away a great fortune by secret methods. Addison.\n\nTo compose fables; hence, to write or speak fiction ; to write or utter what is not true. \"He Fables not.\" Shak. Vain now the tales which fabling poets tell. Prior. He fables, yet speaks truth. M. Arnold.\n\nTo fiegn; to invent; to devise, and speak of, as true or real; to tell of falsely. The hell thou fablest. Milton.
fabler |A writer of fables; a fabulist; a dealer in untruths or falsehoods. Br. Hall.
fabliau |One of the metrical tales of the Trouvères, or early poets of the north of France.
fabric |1. The structure of anything; the manner in which the parts of a thing are united; workmanship; texture; make; as cloth of a beautiful fabric. 2. That which is fabricated; as : (a) Framework; structure; edifice; building. Anon out of the earth a fabric huge Rose like an exhalation. Milton. (b) Cloth of any kind that is woven or knit from fibers, either vegetable or animal; manufactured cloth; as, silks or other fabrics. 3. The act of constructing; construction. [R.] Tithe was received by the bishop, . . . for the fabricof the churches for the poor. Milman. 4. Any system or structure consisting of connected parts; as, the fabric of the universe. The whole vast fabric of society. Macaulay.\n\nTo frame; to built; to construct. [Obs.] \"Fabric their mansions.\" J. Philips.
fabricant |One who fabricates; a manufacturer. Simmonds.
fabricate |1. To form into a whole by uniting its parts; to frame; to construct; to build; as, to fabricate a bridge or ship. 2. To form by art and labor; to manufacture; to produce; as, to fabricate woolens. 3. To invent and form; to forge; to devise falsely; as, to fabricate a lie or story. Our books were not fabricated with an accomodation to prevailing usages. Paley.
fabrication |1. The act of fabricating, framing, or constructing; construction; manufacture; as, the fabrication of a bridge, a church, or a government. Burke. 2. That which is fabricated; a falsehood; as, the story is doubtless a fabrication. Syn. -- See Fiction.
fabricator |One who fabricates; one who constructs or makes. The fabricator of the works of Ossian. Mason.
fabricatress |A woman who fabricates.
fabrile |Pertaining to a workman, or to work in stone, metal, wood etc.; as, fabrile skill.
fabulist |One who invents or writes fables.
fabulize |To invent, compose, or relate fables or fictions. G. S. Faber.
fabulosity |1. Fabulousness. [R.] Abp. Abbot. 2. A fabulous or fictitious story. [R.] Sir T. Browne.
fabulous |1. Feigned, as a story or fable; related in fable; devised; invented; not real; fictitious; as, a fabulous description; a fabulous hero. The fabulous birth of Minerva. Chesterfield. 2. Passing belief; exceedingly great; as, a fabulous price. Macaulay. Fabulous age, that period in the history of a nation of which the only accounts are myths and unverified legends; as, the fabulous age of Greek and Rome. -- Fab\"u*lous*ly, adv. -- Fab\"u*lous*ness, n.
faburden |1. (Mus.) (a) A species of counterpoint with a drone bass. (b) A succession of chords of the sixth. [Obs.] 2. A monotonous refrain. [Obs.] Holland.
fac |A large ornamental letter used, esp. by the early printers, at the commencement of the chapters and other divisions of a book. Brande & C.
facade |The front of a building; esp., the principal front, having some architectural pretensions. Thus a church is said to have its facade unfinished, though the interior may be in use.
face |1. The exterior form or appearance of anything; that part which presents itself to the view; especially, the front or upper part or surface; that which particularly offers itself to the view of a spectator. A mist . . . watered the whole face of the ground. Gen. ii. 6. Lake Leman wooes me with its crystal face. Byron. 2. That part of a body, having several sides, which may be seen from one point, or which is presented toward a certain direction; one of the bounding planes of a solid; as, a cube has six faces. 3. (Mach.) (a) The principal dressed surface of a plate, disk, or pulley; the principal flat surface of a part or object. (b) That part of the acting surface of a cog in a cog wheel, which projects beyond the pitch line. (c) The width of a pulley, or the length of a cog from end to end; as, a pulley or cog wheel of ten inches face. 4. (Print.) (a) The upper surface, or the character upon the surface, of a type, plate, etc. (b) The style or cut of a type or font of type. 5. Outside appearance; surface show; look; external aspect, whether natural, assumed, or acquired. To set a face upon their own malignant design. Milton. This would produce a new face of things in Europe. Addison. We wear a face of joy, because We have been glad of yore. Wordsworth. 6. That part of the head, esp. of man, in which the eyes, cheeks, nose, and mouth are situated; visage; countenance. In the sweat of thy face shalt thou eat bread. Gen. iii. 19. 7. Cast of features; expression of countenance; look; air; appearance. We set the best faceon it we could. Dryden. 8. (Astrol.)  Ten degrees in extent of a sign of the zodiac. Chaucer. 9. Maintenance of the countenance free from abashment or confusion; confidence; boldness; shamelessness; effrontery. This is the man that has the face to charge others with false citations. Tillotson. 10. Presence; sight; front; as in the phrases, before the face of, in the immediate presence of; in the face of, before, in, or against the front of; as, to fly in the face of danger; to the face of, directly to; from the face of, from the presenceof. 11. Mode of regard, whether favorable or unfavorable; favor or anger; mostly in Scriptural phrases. The Lord make his face to shine upon thee. Num. vi. 25. My face [favor] will I turn also from them. Ezek. vii. 22. 12. (Mining)  The end or wall of the tunnel, drift, or excavation, at which work is progressing or was last done. 13. (Com.)  The exact amount expressed on a bill, note, bond, or other mercantile paper, without any addition for interest or reduction for discount. McElrath. Note: Face is used either adjectively or as part of a compound; as, face guard or face-guard; face cloth; face plan or face-plan; face hammer. Face ague (Med.), a form of neuralgia, characterized by acute lancinating pains returning at intervals, and by twinges in certain parts of the face, producing convulsive twitches in the corresponding muscles; -- called also tic douloureux. -- Face card, one of a pack of playing cards on which a human face is represented; the king, queen, or jack. -- Face cloth, a cloth laid over the face of a corpse. -- Face guard, a mask with windows for the eyes, worn by workman exposed to great heat, or to flying particles of metal, stone, etc., as in glass works, foundries, etc. -- Face hammer, a hammer having a flat face. -- Face joint (Arch.), a joint in the face of a wall or other structure. -- Face mite (Zoöll.), a small, elongated mite (Demdex folliculorum), parasitic in the hair follicles of the face. -- Face mold, the templet or pattern by which carpenters, ect., outline the forms which are to be cut out from boards, sheet metal, ect. -- Face plate. (a) (Turning) A plate attached to the spindle of a lathe, to which the work to be turned may be attached. (b) A covering plate for an object, to receive wear or shock. (c) A true plane for testing a dressed surface. Knight. -- Face wheel. (Mach.) (a) A crown wheel. (b) A Wheel whose disk face is adapted for grinding and polishing; a lap. Cylinder face (Steam Engine), the flat part of a steam cylinder on which a slide valve moves. -- Face of an anvil, its flat upper surface. -- Face of a bastion (Fort.), the part between the salient and the shoulder angle. -- Face of coal (Mining), the principal cleavage plane, at right angles to the stratification. -- Face of a gun, the surface of metal at the muzzle. -- Face of a place (Fort.), the front comprehended between the flanked angles of two neighboring bastions. Wilhelm. -- Face of a square (Mil.), one of the sides of a battalion when formed in a square. -- Face of a watch, clock, compass, card etc., the dial or graduated surface on which a pointer indicates the time of day, point of the compass, etc. -- Face to face. (a) In the presence of each other; as, to bring the accuser and the accused face to face. (b) Without the interposition of any body or substance. \"Now we see through a glass darkly; but then face to face.\" 1 Cor. xiii. 12. (c) With the faces or finished surfaces turned inward or toward one another; vis à vis; -- opposed to back to back. -- To fly in the face of, to defy; to brave; to withstand. -- To make a face, to distort the countenance; to make a grimace. Shak.\n\n1. To meet in front; to oppose with firmness; to resist, or to meet for the purpose of stopping or opposing; to confront; to encounter; as, to face an enemy in the field of battale. I'll face This tempest, and deserve the name of king. Dryden. 2. To Confront impudently; to bully. I will neither be facednor braved. Shak. 3. To stand opposite to; to stand with the face or front toward; to front upon; as, the apartments of the general faced the park. He gained also with his forces that part of Britain which faces Ireland. Milton. 4. To cover in front, for ornament, protection, etc.; to put a facing upon; as, a building faced with marble. 5. To line near the edge, esp. with a different material; as, to face the front of a coat, or the bottom of a dress. 6. To cover with better, or better appearing, material than the mass consists of, for purpose of deception, as the surface of a box of tea, a barrel of sugar, etc. 7. (Mach.)  To make the surface of (anything) flat or smooth; to dress the face of (a stone, a casting, etc.); esp., in turning, to shape or smooth the flat surface of, as distinguished from the cylindrical surface. 8. To cause to turn or present a face or front, as in a particular direction. To face down, to put down by bold or impudent opposition. \"He faced men down.\" Prior. -- To face (a thing) out, to persist boldly or impudently in an assertion or in a line of conduct. \"That thinks with oaths to face the matter out.\" Shak\n\n1. To carry a false appearance; to play the hypocrite. \"To lie, to face, to forge.\" Spenser. 2. To turn the face; as, to face to the right or left. Face about, man; a soldier, and afraid! Dryden. 3. To present a face or front.
faced |Having (such) a face, or (so many) faces; as, smooth-faced, two-faced.
facer |1. One who faces; one who puts on a false show; a bold-faced person. [Obs.] There be no greater talkers, nor boasters, nor fasers. Latimer. 2. A blow in the face, as in boxing; hence, any severe or stunning check or defeat, as in controversy. [Collog.] I should have been a stercoraceous mendicant if I had hollowed when I got a facer. C. Kingsley.
facet |1. A little face; a small, plane surface; as, the facets of a diamond. [Written also facette.] 2. (Anat.)  A smooth circumscribed surface; as, the articular facet of a bone. 3. (Arch.)  The narrow plane surface between flutings of a column. 4. (Zoöl.)  One of the numerous small eyes which make up the compound eyes of insects and crustaceans.\n\nTo cut facets or small faces upon; as, to facet a diamond.
facete |Facetious; witty; humorous. [Archaic] \"A facete discourse.\" Jer. Taylor. \"How to interpose\" with a small, smart remark, sentiment facete, or unctuous anecdote. Prof. Wilson. -- Fa*cete\"ly, adv. -- Fa*cete\"ness, n.
faceted |Having facets.
facetiae |Witty or humorous writings or saying; witticisms; merry conceits.
facetious |1. Given to wit and good humor; merry; sportive; jocular; as, a facetious companion. 2. Characterized by wit and pleasantry; exciting laughter; as, a facetious story or reply. -- Fa*ce\"tious*ly, adv. -- Fa*ce\"tious*ness, n.
facette |See Facet, n.
facework |The material of the outside or front side, as of a wall or building; facing.
facia |See Fascia.
facial |Of or pertaining to the face; as, the facial artery, vein, or nerve. -- Fa\"cial*ly, adv. Facial angle (Anat.), the angle, in a skull, included between a straight line (ab, in the illustrations), from the most prominent part of the forehead to the front efge of the upper jaw bone, and another (cd) from this point to the center of the external auditory opening. See Gnathic index, under Gnathic.
faciend |The multiplicand. See Facient, 2.
facient |1. One who does anything, good or bad; a doer; an agent. [Obs.] Br. Hacket. 2. (Mach.) (a) One of the variables of a quantic as distinguished from a coefficient. (b) The multiplier. Note: The terms facient, faciend, and factum, may imply that the multiplication involved is not ordinary multiplication, but is either some specified operation, or, in general, any mathematical operation. See Multiplication.
facies |1. The anterior part of the head; the face. 2. (Biol.)  The general aspect or habit of a species, or group of species, esp. with reference to its adaptation to its environment. 3. (Zoöl.)  The face of a bird, or the front of the head, excluding the bill. Facies Hippocratica. (Med.) See Hippocratic.
facile |1. Easy to be done or performed: not difficult; performable or attainable with little labor. Order . . . will render the work facile and delightful. Evelyn. 2. Easy to be surmounted or removed; easily conquerable; readily mastered. The facile gates of hell too slightly barred. Milton. 3. Easy of access or converse; mild; courteous; not haughty, austere, or distant; affable; complaisant. I meant she should be courteous, facile, sweet. B. Jonson. 4. Easily persuaded to good or bad; yielding; ductile to a fault; pliant; flexible. Since Adam, and his facile consort Eve, Lost Paradise, deceived by me. Milton. This is treating Burns like a child, a person of so facile a disposition as not to be trusted without a keeper on the king's highway. Prof. Wilson. 5. Ready; quick; expert; as, he is facile in expedients; he wields a facile pen. -- Fac\"ile-ly, adv. -- Fac\"ile*ness, n.
facilitate |To make easy or less difficult; to free from difficulty or impediment; to lessen the labor of; as, to facilitate the execution of a task. To invite and facilitate that line of proceeding which the times call for. I. Taylor.
facilitation |The act of facilitating or making easy.
facility |1. The quality of being easily performed; freedom from difficulty; ease; as, the facility of an operation. The facility with which government has been overturned in France. Burke . 2. Ease in performance; readiness proceeding from skill or use; dexterity; as, practice gives a wonderful facility in executing works of art. 3. Easiness to be persuaded; readiness or compliance; -- usually in a bad sense; pliancy. It is a great error to take facility for good nature. L'Estrange. 4. Easiness of access; complaisance; affability. Offers himself to the visits of a friend with facility. South. 5. That which promotes the ease of any action or course of conduct; advantage; aid; assistance; -- usually in the plural; as, special facilities for study. Syn. -- Ease; expertness; readiness; dexterity; complaisance; condescension; affability. -- Facility, Expertness, Readiness. These words have in common the idea of performing any act with ease and promptitude. Facility supposes a natural or acquired power of dispatching a task with lightness and ease. Expertness is the kind of facility acquired by long practice. Readiness marks the promptitude with which anything is done. A merchant needs great facility in dispatching business; a bunker, great expertness in casting accounts; both need great readiness in passing from one employment to another. \"The facility which we get of doing things by a custom of doing, makes them often pass in us without our notice.\" Locke. \"The army was celebrated for the expertness and valor of the soldiers.\" \"A readiness obey the known will of God is the surest means to enlighten the mind in respect to duty.\",
  "lanioid |Of or pertaining to the shrikes (family Laniidæ).
facing |1. A covering in front, for ornament or other purpose; an exterior covering or sheathing; as, the facing of an earthen slope, sea wall, etc. , to strengthen it or to protect or adorn the exposed surface. 2. A lining placed near the edge of a garment for ornament or protection. 3. (Arch.)  The finishing of any face of a wall with material different from that of which it is chiefly composed, or the coating or material so used. 4. (Founding)  A powdered substance, as charcoal, bituminous coal, ect., applied to the face of a mold, or mixed with the sand that forms it, to give a fine smooth surface to the casting. 5. (Mil.) (a) pl.  The collar and cuffs of a military coat; -- commonly of a color different from that of the coat. (b) The movement of soldiers by turning on their heels to the right, left, or about; -- chiefly in the pl. Facing brick, front or pressed brick.
facingly |In a facing manner or position.
facinorous |Atrociously wicked. [Obs.] Jer. Taylor. -- Fa*cin\"o*rous*ness, n. [Obs.]
facound |Speech; eloquence. [Obs.] Her facound eke full womanly and plain. Chaucer.
facsimile |A copy of anything made, either so as to be deceptive or so as to give every part and detail of the original; an exact copy or likeness. Facsimile telegraph, a telegraphic apparatus reproducing messages in autograph.\n\n, (
fact |1. A doing, making, or preparing. [Obs.] A project for the fact and vending Of a new kind of fucus, paint for ladies. B. Jonson. 2. An effect produced or achieved; anything done or that comes to pass; an act; an event; a circumstance. What might instigate him to this devilish fact, I am not able to conjecture. Evelyn. He who most excels in fact of arms. Milton. 3. Reality; actuality; truth; as, he, in fact, excelled all the rest; the fact is, he was beaten. 4. The assertion or statement of a thing done or existing; sometimes, even when false, improperly put, by a transfer of meaning, for the thing done, or supposed to be done; a thing supposed or asserted to be done; as, history abounds with false facts. I do not grant the fact. De Foe. This reasoning is founded upon a fact which is not true. Roger Long. Note: TheTerm fact has in jurisprudence peculiar uses in contrast with low; as, attorney at low, and attorney in fact; issue in low, and issue in fact. There is also a grand distinction between low and fact with reference to the province of the judge and that of the jury, the latter generally determining the fact, the former the low. Burrill Bouvier. Accessary before, or after, the fact. See under Accessary. -- Matter of fact, an actual occurrence; a verity; used adjectively: of or pertaining to facts; prosaic; unimaginative; as, a matter-of- fact narration. Syn. -- Act; deed; performance; event; incident; occurrence; circumstance.
faction |1. (Anc. Hist.)  One of the divisions or parties of charioteers (distinguished by their colors) in the games of the circus. 2. A party, in political society, combined or acting in union, in opposition to the government, or state; -- usually applied to a minority, but it may be applied to a majority; a combination or clique of partisans of any kind, acting for their own interests, especially if greedy, clamorous, and reckless of the common good. 3. Tumult; discord; dissension. They remained at Newbury in great faction among themselves. Clarendon. Syn. -- Combination; clique; junto. See Cabal.
factionary |Belonging to a faction; being a partisan; taking sides. [Obs.] Always factionary on the party of your general. Shak.
factioner |One of a faction. Abp. Bancroft.
factionist |One who promotes faction.
factious |1. Given to faction; addicted to form parties and raise dissensions, in opposition to government or the common good; turbulent; seditious; prone to clamor against public measures or men; -- said of persons. Factious for the house of Lancaster. Shak. 2. Pertaining to faction; proceeding from faction; indicating, or characterized by, faction; -- said of acts or expressions; as, factious quarrels. Headlong zeal or factious fury. Burke. -- Fac\"tious*ly, adv. -- Fac\"tious-ness, n.
factitious |Made by art, in distinction from what is produced by nature; artificial; sham; formed by, or adapted to, an artificial or conventional, in distinction from a natural, standard or rule; not natural; as, factitious cinnabar or jewels; a factitious taste. -- Fac-ti\"tious*ly, adv. -- Fac*ti\"tious-ness, n. He acquires a factitious propensity, he forms an incorrigible habit, of desultory reading. De Quincey. Syn. -- Unnatural. -- Factitious, Unnatural. Anything is unnatural when it departs in any way from its simple or normal state; it is factitious when it is wrought out or wrought up by labor and effort, as, a factitious excitement. An unnatural demand for any article of merchandise is one which exceeds the ordinary rate of consumption; a factitious demand is one created by active exertions for the purpose. An unnatural alarm is one greater than the occasion requires; a factitious alarm is one wrought up with care and effort.
factitive |1. Causing; causative. 2. (Gram.)  Pertaining to that relation which is proper when the act, as of a transitive verb, is not merely received by an object, but produces some change in the object, as when we say, He made the water wine. Sometimes the idea of activity in a verb or adjective involves in it a reference to an effect, in the way of causality, in the active voice on the immediate objects, and in the passive voice on the subject of such activity. This second object is called the factitive object. J. W. Gibbs.
factive |Making; having power to make. [Obs.] \"You are . . . factive, not destructive.\" Bacon.
facto |In fact; by the act or fact. De facto. (Law) See De facto.
factor |1. (Law)  One who transacts business for another; an agent; a substitute; especially, a mercantile agent who buys and sells goods and transacts business for others in commission; a commission merchant or consignee. He may be a home factor or a foreign factor. He may buy and sell in his own name, and he is intrusted with the possession and control of the goods; and in these respects he differs from a broker. Story. Wharton. My factor sends me word, a merchant's fled That owes me for a hundred tun of wine. Marlowe. 2. A steward or bailiff of an estate. [Scot.] Sir W. Scott. 3. (Math.)  One of the elements or quantities which, when multiplied together, from a product. 4. One of the elements, circumstances, or influences which contribute to produce a result; a constituent. The materal and dynamical factors of nutrition. H. Spencer.\n\nTo resolve (a quantity) into its factors.
factorage |The allowance given to a factor, as a compensation for his services; -- called also a commission.
factoress |A factor who is a woman. [R.]
factorial |1. Of or pertaining to a factory. Buchanan. 2. (Math.)  Related to factorials.\n\nA name given to the factors of a continued product when the former are derivable from one and the same function F(x) by successively imparting a constant increment or decrement h to the independent variable. Thus the product F(x).F(x + h).F(x + 2h) . . . F[x + (n-1)h] is called a factorial term, and its several factors take the name of factorials. Brande & C. (b) The product of the consecutive numbers from unity up to any given number.
factoring |The act of resolving into factors.
factorize |(a) To give warning to; -- said of a person in whose hands the effects of another are attached, the warning being to the effect that he shall not pay the money or deliver the property of the defendant in his hands to him, but appear and answer the suit of the plaintiff. (b) To attach (the effects of a debtor) in the hands of a third person ; to garnish. See Garnish. [Vt. & Conn.]
factorship |The business of a factor.
factory |1. A house or place where factors, or commercial agents, reside, to transact business for their employers. \"The Company's factory at Madras.\" Burke. 2. The body of factors in any place; as, a chaplain to a British factory. W. Guthrie. 3. A building, or collection of buildings, appropriated to the manufacture of goods; the place where workmen are employed in fabricating goods, wares, or utensils; a manufactory; as, a cotton factory. Factory leg (Med.), a variety of bandy leg, associated with partial dislocation of the tibia, produced in young children by working in factories.
factotum |A person employed to do all kinds of work or business. B. Jonson.
factual |Relating to, or containing, facts. [R.]
factum |1. (Law)  A man's own act and deed; particularly: (a) (Civil Law) Anything stated and made certain. (b) (Testamentary Law) The due execution of a will, including everything necessary to its validity. 2. (Mach.)  The product. See Facient, 2.
facture |1. The act or manner of making or doing anything; -- now used of a literary, musical, or pictorial production. Bacon. 2. (Com.)  An invoice or bill of parcels.
faculae |Groups of small shining spots on the surface of the sun which are brighter than the other parts of the photosphere. They are generally seen in the neighborhood of the dark spots, and are supposed to be elevated portions of the photosphere. Newcomb.
facular |Of or pertaining to the faculæ. R. A. Proctor.
facultative |1. Having relation to the grant or exercise faculty, or authority, privilege, license, or the like hence, optional; as, facultative enactments, or those which convey a faculty, or permission; the facultative referendum of Switzerland is one that is optional with the people and is necessary only when demanded by petition; facultative studies; -- opposed to obligatory and compulsory, and sometimes used with to. 2.  Of such a character as to admit of existing under various forms or conditions, or of happening or not happening, or the like; specif.: (Biol.)  Having the power to live under different conditions; as, a facultative parasite, a plant which is normally saprophytic, but which may exist wholly or in part as a parasite; -- opposed to obligate. 3.  (Physiol.) Pertaining to a faculty or faculties. In short, there is no facultative plurality in the mind; it is a single organ of true judgment for all purposes, cognitive or practical. J. Martineau.
faculty |1. Ability to act or perform, whether inborn or cultivated; capacity for any natural function; especially, an original mental power or capacity for any of the well-known classes of mental activity; psychical or soul capacity; capacity for any of the leading kinds of soul activity, as knowledge, feeling, volition; intellectual endowment or gift; power; as, faculties of the mind or the soul. But know that in the soul Are many lesser faculties that serve Reason as chief. Milton. What a piece of work is a man ! how noble in reason ! how infinite in faculty ! Shak. 2. Special mental endowment; characteristic knack. He had a ready faculty, indeed, of escaping from any topic that agitated his too sensitive and nervous temperament. Hawthorne. 3. Power; prerogative or attribute of office. [R.] This Duncan Hath borne his faculties so meek. Shak. 4. Privilege or permission, granted by favor or indulgence, to do a particular thing; authority; license; dispensation. The pope . . . granted him a faculty to set him free from his promise. Fuller. It had not only faculty to inspect all bishops' dioceses, but to change what laws and statutes they should think fit to alter among the colleges. Evelyn. 5. A body of a men to whom any specific right or privilege is granted; formerly, the graduates in any of the four departments of a university or college (Philosophy, Law, Medicine, or Theology), to whom was granted the right of teaching (profitendi or docendi) in the department in which they had studied; at present, the members of a profession itself; as, the medical faculty; the legal faculty, ect. 6. (Amer. Colleges)  The body of person to whom are intrusted the government and instruction of a college or university, or of one of its departments; the president, professors, and tutors in a college. Dean of faculty. See under Dean. -- Faculty of advocates. (Scot.) See under Advocate. Syn. -- Talent; gift; endowment; dexterity; expertness; cleverness; readiness; ability; knack.
facund |Eloquent. [Archaic]
facundious |Eloquement; full of words. [Archaic]
facundity |Eloquence; readiness of speech. [Archaic]
fad |A hobby ; freak; whim. -- Fad\"dist, n. It is your favorite fad to draw plans. G. Eliot.
fadaise |A vapid or meaningless remark; a commonplace; nonsense.
faddle |To trifle; to toy. -- v. t.  To fondle; to dandle. [Prov. Eng.] Halliwell.
fade |Weak; insipid; tasteless; commonplace. [R.] \"Passages that are somewhat fade.\" Jeffrey. His masculine taste gave him a sense of something fade and ludicrous. De Quincey.\n\n1. To become fade; to grow weak; to lose strength; to decay; to perish gradually; to wither, as a plant. The earth mourneth and fadeth away. Is. xxiv. 4. 2. To lose freshness, color, or brightness; to become faint in hue or tint; hence, to be wanting in color. \"Flowers that never fade.\" Milton. 3. To sink away; to disappear gradually; to grow dim; to vanish. The stars shall fade away. Addison He makes a swanlike end, Fading in music. Shak.\n\nTo cause to wither; to deprive of freshness or vigor; to wear away. No winter could his laurels fade. Dryden.
faded |That has lost freshness, color, or brightness; grown dim. \"His faded cheek.\" Milton. Where the faded moon Made a dim silver twilight. Keats.
fadedly |In a faded manner. A dull room fadedly furnished. Dickens.
fadeless |Not liable to fade; unfading.
fader |Father. [Obs.] Chaucer.
fadge |To fit; to suit; to agree. They shall be made, spite of antipathy, to fadge together. Milton. Well, Sir, how fadges the new design Wycherley.\n\nA small flat loaf or thick cake; also, a fagot. [Prov. Eng.] Halliwell.
fading |Losing freshness, color, brightness, or vigor. -- n.  Loss of color, freshness, or vigor. -- Fad\"ing*ly, adv. -- Fad\"ing*ness, n.\n\nAn Irish dance; also, the burden of a song. \"Fading is a fine jig.\" [Obs.] Beau. & Fl.
fadme |A fathom. [Obs.] Chaucer.
fady |Faded. [R.] Shenstone.
faecal |See Fecal.
faeces |Excrement; ordure; also, settlings; sediment after infusion or distillation. [Written also feces.]
faecula |See Fecula.
faery |Fairy. [Archaic] Spenser.
faffle |To stammer. [Prov. Eng.] Halliwell.
fag |A knot or coarse part in cloth. [Obs.]\n\n1. To become weary; to tire. Creighton withheld his force till the Italian began to fag. G. Mackenzie. 2. To labor to wearness; to work hard; to drudge. Read, fag, and subdue this chapter. Coleridge. 3. To act as a fag, or perform menial services or drudgery, for another, as in some English schools. To fag out, to become untwisted or frayed, as the end of a rope, or the edge of canvas.\n\n1. To tire by labor; to exhaust; as, he was almost fagged out. 2. Anything that fatigues. [R.] It is such a fag, I came back tired to death. Miss Austen. Brain fag. (Med.) See Cerebropathy.
fag-end |1. An end of poorer quality, or in a spoiled condition, as the coarser end of a web of cloth, the untwisted end of a rope, ect. 2. The refuse or meaner part of anything. The fag-end of business. Collier.
fagend |1. An end of poorer quality, or in a spoiled condition, as the coarser end of a web of cloth, the untwisted end of a rope, ect. 2. The refuse or meaner part of anything. The fag-end of business. Collier.
fagging |Laborious drudgery; esp., the acting as a drudge for another at an English school.
fagot |1. A bundle of sticks, twigs, or small branches of trees, used for fuel, for raising batteries, filling ditches, or other purposes in fortification; a fascine. Shak. 2. A bundle of pieces of wrought iron to be worked over into bars or other shapes by rolling or hammering at a welding heat; a pile. 3. (Mus.)  A bassoon. See Fagotto. 4. A person hired to take the place of another at the muster of a company. [Eng.] Addison. 5. An old shriveled woman. [Slang, Eng.] Fagot iron, iron, in bars or masses, manufactured from fagots. -- Fagot vote, the vote of a person who has been constituted a voter by being made a landholder, for party purposes. [Political cant, Eng.]\n\nTo make a fagot of; to bind together in a fagot or bundle; also, to collect promiscuously. Dryden.
fagotto |The bassoon; -- so called from being divided into parts for ease of carriage, making, as it were, a small fagot.
faham |The leaves of an orchid (Angraecum fragrans), of the islands of Bourbon and Mauritius, used (in France) as a substitute for Chinese tea.
fahlband |A stratum in crystalline rock, containing metallic sulphides. Raymond.\n\nSame as Tetrahedrite.
fahlerz |Same as Tetrahedrite.
fahlunite |A hydration of iolite.
fahrenheit |Conforming to the scale used by Gabriel Daniel Fahrenheit in the graduation of his thermometer; of or relating to Fahrenheit's thermometric scale. -- n.  The Fahrenheit termometer or scale. Note: The Fahrenheit thermometer is so graduated that the freezing point of water is at 32 degrees above the zero of its scale, and the boiling point at 212 degrees above. It is commonly used in the United States and in England.
faience |Glazed earthenware; esp., that which is decorated in color.
