cadetship |The position, rank, or commission of a cadet; as, to get a cadetship.
caitiff |1. Captive; wretched; unfortunate. [Obs.] Chaucer. 2. Base; wicked and mean; cowardly; despicable. Arnold had sped his caitiff flight. W. Irving.\n\nA captive; a prisoner. [Obs.] Avarice doth tyrannize over her caitiff and slave. Holland. 2. A wretched or unfortunate man. [Obs.] Chaucer. 3. A mean, despicable person; one whose character meanness and wickedness meet. Note: The deep-felt conviction of men that slavery breaks down the moral character . . . speaks out with . . . distinctness in the change of meaning which caitiff has undergone signifying as it now does, one of a base, abject disposition, while there was a time when it had nothing of this in it. Trench.
cajeput |See Cajuput.
cajole |To deceive with flattery or fair words; to wheedle. I am not about to cajole or flatter you into a reception of my views. F. W. Robertson. Syn. -- To flatter; wheedle; delude; coax; entrap.
cajolement |The act of cajoling; the state of being cajoled; cajolery. Coleridge.
cajoler |A flatterer; a wheedler.
cajolery |A wheedling to delude; words used in cajoling; flattery. \"Infamous cajoleries.\" Evelyn.
cajun |In Louisiana, a person reputed to be Acadian French descent.
cajuput |A highly stimulating volatile infammable oil, distilled from the leaves of an East Indian tree (Melaleuca cajuputi, etc.) It is greenish in color and has a camphoraceous odor and pungent taste.
cajuputene |A colorlees or greenish oil extracted from cajuput.
cake |1. A small mass of dough baked; especially, a thin loaf from unleavened dough; as, an oatmeal cake; johnnycake. 2. A sweetened composition of flour and other ingredients, leavened or unleavened, baked in a loaf or mass of any size or shape. 3. A thin wafer-shaped mass of fried batter; a griddlecake or pancake; as buckwheat cakes. 4. A mass of matter concreted, congealed, or molded into a solid mass of any form, esp. into a form rather flat than high; as, a cake of soap; an ague cake. Cakes of rusting ice come rolling down the flood. Dryden. Cake urchin (Zoöl), any species of flat sea urchins belonging to the Clypeastroidea. -- Oil cake the refuse of flax seed, cotton seed, or other vegetable substance from which oil has been expressed, compacted into a solid mass, and used as food for cattle, for manure, or for other purposes. -- To have one's cake dough, to fail or be disappointed in what one has undertaken or expected. Shak.\n\nTo form into a cake, or mass.\n\nTo concrete or consolidate into a hard mass, as dough in an oven; to coagulate. Clotted blood that caked within. Addison.\n\nTo cackle as a goose. [Prov. Eng.]
caking coal |See Coal.
calabar |A district on the west coast of Africa. Calabar bean, The of a climbing legumious plant (Physostigma venenosum), a native of tropical Africa. It is highly poisonous. It is used to produce contraction of the pupil of the eye; also in tetanus, neuralgia, and rheumatic diseases; -- called also ordeal bean, being used by the negroes in trials for witchcraft.
calabarine |An alkaloid resembing physostigmine and occurring with it in the calabar bean.
calabash |1. The common gourd (plant or fruit). 2. The fruit of the calabash tree. 3. A water dipper, bottle, backet, or other utensil, made from the dry shell of a calabash or gourd. Calabash tree. (Bot.), a tree of tropical America (Crescentia cujete), producing a large gourdike fruit, containing a purgative pulp. Its hard shell, after the removal of the pulp, is used for cups, bottles, etc. The African calabash tree is the baobab.
calaboose |A prison; a jail. [Local, U. S.]
calabozo |A jail. See Calaboose.
calade |A slope or declivity in a manege ground down which a horse is made to gallop, to give suppleness to his haunches.
caladium |A genus of aroideous plants, of which some species are cultivated for their immense leaves (which are often curiously blotched with white and red), and others (in Polynesia) for food.
calaite |A mineral. See Turquoise.
calamanco |A glossy woolen stuff, plain, striped, or checked. \"a gay calamanco waistcoat.\" Tatler.
calamander wood |A valuable furniture wood from India and Ceylon, of a hazel- brown color, with black stripes, very hard in texture. It is a species of ebony, and is obtained from the Diospyros qusesita. Called also Coromandel wood.
calamar |A cephalopod, belonging to the genus Loligo and related genera. There are many species. They have a sack of inklike fluid which they discharge from the siphon tube, when pursued or alarmed, in order to confuse their enemies. Their shell is a thin horny plate, within the flesh of back, shaped very much like a quill pen. In America they are called squids. See Squid.
calamary |A cephalopod, belonging to the genus Loligo and related genera. There are many species. They have a sack of inklike fluid which they discharge from the siphon tube, when pursued or alarmed, in order to confuse their enemies. Their shell is a thin horny plate, within the flesh of back, shaped very much like a quill pen. In America they are called squids. See Squid.
calambac |A fragrant wood; agalloch.
calambour |A species of agalloch, or aloes wood, of a dusky or mottled color, of a light, friable texture, and less fragrant than calambac; -- used by cabinetmakers.
calamiferous |Producing reeds; reedy.
calamine |A mineral, the hydrous silicate of zinc. Note: The name was formerly applied to both the carbonate and silicate of zinc each of which is valuabic as an ore; but it is now usually restricted to the latter, the former being called smithsonite.
calamint |A genus of perennial plants (Calamintha) of the Mint family, esp. the C. Nepela and C. Acinos, which are called also basil thyme.
calamist |One who plays upon a reed or pipe. [Obs.] Blount.
calamistrate |To curl or friz, as the hair. [Obs.] Cotgrave.
calamistration |The act or process of curling the hair. [Obs.] burton.
calamistrum |A comblike structure on the metatarsus of the hind legs of certain spiders (Ciniflonidæ), used to curl certain fibers in the construction of their webs.
calamite |A fossil plant of the coal formation, having the general form of plants of the modern Equiseta (the Horsetail or Scouring Rush family) but sometimes attaining the height of trees, and having the stem more or less woody within. See Acrogen, and Asterophyllite.
calamitous |1. Suffering calamity; wretched; miserable. [Obs.] Ten thousands of calamitous persons. South. 2. Producing, or attended with distress and misery; making wretched; wretched; unhappy. \"This sad and calamitous condition.\" South. \"A calamitous prison\" Milton. Syn. -- Miserable; deplorable; distressful; afflictive; grievous; baleful; disastrous; adverse; unhappy; severe; sad; unfortunate. -- Ca*lam\"i*tous*ly, adv. -- Ca*lam\"i*tous*ness, n.
calamity |1. Any great misfortune or cause of misery; -- generally applied to events or disasters which produce extensive evil, either to communities or individuals. Note: The word calamity was first derived from calamus when the corn could not get out of the stalk. Bacon. Strokes of calamity that scathe and scorch the soul. W. Irving. 2. A state or time of distress or misfortune; misery. The deliberations of calamity are rarely wise. Burke. Where'er I came I brought calamity. Tennyson. Syn. -- Disaster; distress; afflicition; adversity; misfortune; unhappiness; infelicity; mishap; mischance; misery; evil; extremity; exigency; downfall. -- Calamity, Disaster, Misfortune, Mishap, Mischance. Of these words, calamity is the strongest. It supposes a somewhat continuous state, produced not usually by the direct agency of man, but by natural causes, such as fire, flood, tempest, disease, etc, Disaster denotes literally ill-starred, and is some unforeseen and distressing event which comes suddenly upon us, as if from hostile planet. Misfortune is often due to no specific cause; it is simply the bad fortune of an individual; a link in the chain of events; an evil independent of his own conduct, and not to be charged as a fault. Mischance and mishap are misfortunes of a trivial nature, occurring usually to individuals. \"A calamity is either public or private, but more frequently the former; a disaster is rather particular than private; it affects things rather than persons; journey, expedition, and military movements are often attended with disasters; misfortunes are usually personal; they immediately affect the interests of the individual.\" Crabb.
calamus |1. (Bot.)  The indian cane, a plant of the Palm family. It furnishes the common rattan. See Rattan, and Dragon's blood. 2. (Bot.)  A species of Acorus (A. calamus), commonly called calamus, or sweet flag. The root has a pungent, aromatic taste, and is used in medicine as a stomachic; the leaves have an aromatic odor, and were formerly used instead of rushes to strew on floors. 3. (Zoöl.)  The horny basal portion of a feather; the barrel or quill.
calandine |A perennial herbaceous plant (Chelidonium majus) of the poppy family, with yellow flowers. It is used as a medicine in jandice, etc., and its acrid saffron-colored juice is used to cure warts and the itch; -- called also greater celandine and swallowwort. Lasser celandine, the pilewort (Ranunculus Ficaria).
calando |(Mus.) Gradually diminishing in rapidity and loudness.
calash |1. A light carriage with low wheels, having a top or hood that can be raised or lowered, seats for inside, a separate seat for the driver, and often a movable front, so that it can be used as either an open or a close carriage. The baroness in a calash capable of holding herself, her two children, and her servants. W. Irving. 2. In Canada, a two-wheeled, one-seated vehicle, with a calash top, and the driver's seat elevated in front. 3. A hood or top of a carriage which can be thrown back at pleasure. 4. A hood, formerly worn by ladies, which could be drawn forward or thrown back like the top of a carriage.
calaveras skull |A human skull reported, by Prof. J. D. Whitney, as found in 1886 in a Tertiary auriferous gravel deposit, lying below a bed of black lava, in Calaveras County, California. It is regarded as very doubtful whether the skull really belonged to the deposit in which it was found. If it did, it indicates an unprecedented antiquity for human beings of an advanced type.
calaverite |A bronze-yellow massive mineral with metallic luster; a telluride of gold; -- first found in Calaveras County California.
calc-sinter |See under Calcite.
calc-spar |Same as Calcite.
calc-tufa |See under Calcite.
calcaneal |Pertaining to the calcaneum; as, calcaneal arteries.
calcaneum |One of the bones of the tarsus which in man, forms the great bone of the heel; -- called also fibulare.
calcar |A kind of oven, or reverberatory furnace, used for the calcination of sand and potash, and converting them into frit. Ure.\n\n1. (Bot.)  A hollow tube or spur at the base of a petal or corolla. 2. (Zoöl.)  A slender bony process from the ankle joint of bats, which helps to support the posterior part of the web, in flight. 3. (Anat.) (a) A spur, or spurlike prominence. (b) A curved ridge in the floor of the leteral ventricle of the brain; the calcar avis, hippocampus minor, or ergot.
calcarate |1. (Bot.)  Having a spur, as the flower of the toadflax and larkspur; spurred. Gray. 2. (Zoöl.)  Armed with a spur.
calcarated |1. (Bot.)  Having a spur, as the flower of the toadflax and larkspur; spurred. Gray. 2. (Zoöl.)  Armed with a spur.
calcareo-argillaceous |consisting of, or containing, calcareous and argillaceous earths.
calcareo-bituminous |Consisting of, or containing, lime and bitumen. Lyell.
calcareo-siliceous |Consisting of, or containing calcareous and siliceous earths.
calcareous |Partaking of the nature ofcalcite or calcium carbonate; consisting of, or containg, calcium carbonate or carbonate of lime. Clcareous spar. See as Calcite.
calcareousness |Quality of being calcareous.
calcariferous |Lime-yielding; calciferous
calcarine |Pertaining to, or situated near, the calcar of the brain.
calcavella |A sweet wine from Portugal; -- so called from the district of Carcavelhos. [Written also Calcavellos or Carcavelhos.]
calceated |Fitted with, or wearing, shoes. Johnson.
calced |Wearing shoes; calceated; -- in distintion from discalced or barefooted; as the calced Carmelites.
calcedon |A foul vein, like chalcedony, in some precious stones.
calcedonian |See Chalcedonic.
calcedonic |See Chalcedonic.
calceiform |Shaped like a plipper, as one petal of the lady's-slipper; calceolate.
calceolaria |A genus of showy herbaceous or shrubby plant, biought from South America; slipperwort. It has a yellow or purple flower, often spotted or striped, the shape of which suggests its name.
calceolate |Slipper-ahaped. See Calceiform.
calces |See Calx.
calcic |Pertaining to, derived from, or containing, calcium or lime.
calciferous |Bearing producing, or containing calcite, or carbonate of lime. Calciferouse epoch (Geol.), and epoch in the American lower Silurian system, immediately succeeding the Cambrian period. The name alludes to the peculiar mixture of calcareous and siliceous characteristics in many of the beds. See the Diagram under Grology.
calcific |Calciferous. Specifically: (Zoöl.) of or pertaining to hte portion of the which forms the eggshell in birds and reptiles. Huxley.
calcification |The process of chenge into a stony or calcareous substance by the deposition of lime salt; -- normally, as in the formation of bone and teeth; abnormally, as in calcareous degeneration of tissue.
calcified |Consisting of, or containing, calcareous matter or lime salts; calcareous.
calciform |In the form of chalk or lime.
calcify |To make stony or calcareous by the deposit or secretion of salts of lime.\n\nTo become changed into a stony or calcareous condition, in lime is a principal ingredient, as in the formation of teeth.
calcigenous |Tending to form, or to become, a calx or earthlike substance on being oxidized or burnt; as magnesium, calcium. etc.
calcigerous |Holding lime or other earthy salts; as, the calcigerous cells of the teeth.
calcimine |A white or colored wash for the ceiling or other plastering of a room, consisting of a mixture of clear glue, Paris white or zinc white, and water. [Also spelt kalsomine.]\n\nTo wash or cover with calcimine; as, to calcimine walls.
calciminer |One who calcimines.
calcinable |That may be calcined; as, a calcinable fossil.
calcinate |To calcine. [R.]
calcination |1. (Chem.)  The act or process of disintegrating a substance, or rendering it friable by the action of heat, esp. by the expulsion of some volatile matter, as when carbonic and acid is expelled from carbonate of calcium in the burning of limestone in order to make lime. 2. The act or process of reducing a metal to an oxide or metallic calx; oxidation.
calcinatory |A vessel used in calcination.
calcine |1. To reduce to a powder, or to a friable state, by the action of heat; to expel volatile matter from by means of heat, as carbonic acid from limestone, and thus (usually) to produce disintegration; as to, calcine bones. 2. To oxidize, as a metal by the action of heat; to reduce to a metallic calx.\n\nTo be convereted into a powder or friable substance, or into a calx, by the action of heat. \"Calcining without fusion\" Newton.
calciner |One who, or that which, calcines.
calcispongiae |An order of marine sponges, containing calcareous spicules. See Porifera.
calcite |Calcium carbonate, or carbonate of lime. It is rhombohedral in its crystallization, and thus distinguished from aragonite. It includes common limestone, chalk, and marble. Called also calc-spar and calcareous spar. Note: Argentine is a pearly lamellar variety; aphrite is foliated or chalklike; dogtooth spar, a form in acute rhombohedral or scalenohedral crystals; calc-sinter and calc-tufa are lose or porous varieties formed in caverns or wet grounds from calcareous deposits; agaric mineral is a soft, white friable variety of similar origin; stalaclite and stalagmite are varieties formed from the drillings in caverns. Iceland spar is a transparent variety, exhibiting the strong double refraction of the species, and hence is called doubly refracting spar.
calcitrant |Kicking. Hence: Stubborn; refractory.
calcitrate |To kick.
calcitration |Act of kicking.
calcium |An elementary substance; a metal which combined with oxygen forms lime. It is of a pale yellow color, tenacious, and malleable. It is a member of the alkaline earth group of elements. Atomic weight 40. Symbol Ca. Note: Calcium is widely and abundantly disseminated, as in its compounds calcium carbonate or limestone, calcium sulphate or gypsum, calcium fluoride or fluor spar, calcium phosphate or apatite. Calcium light, an intense light produced by the incandescence of a stick or ball of lime in the flame of a combination of oxygen and hydrogen gases, or of oxygen and coal gas; -- called also Drummond light.
calcivorous |Eroding, or eating into, limestone.
calcographer |One who practices calcography.
calcographic |Relating to, or in the style of, calcography.
calcographical |Relating to, or in the style of, calcography.
calcography |The art of drawing with chalk.
calculable |That may be calculated or ascertained by calculation.
calculary |Of or pertaining to calculi.\n\nA congeries of little stony knots found in the pulp of the pear and other fruits.
calculate |1. To ascertain or determine by mathematical processes, usually by the ordinary rules of arithmetic; to reckon up; to estimate; to compute. A calencar exacity calculated than any othe. North. 2. To ascertain or predict by mathematical or astrological computations the time, circumstances, or other conditions of; to forecast or compute the character or consequences of; as, to calculate or cast one's nativity. A cunning man did calculate my birth. Shak. 3. To adjust for purpose; to adapt by forethought or calculation; to fit or prepare by the adaptation of means to an end; as, to calculate a system of laws for the government and protection of a free people. [Religion] is . . . calculated for our benefit. Abp. Tillotson. 4. To plan; to expect; to think. [Local, U. S.] Syn. -- To compute; reckon; count; estimate; rate. -- To Calculate, Compute. Reckon, Count. These words indicate the means by which we arrive at a given result in regard to quantity. We calculate with a view to obtain a certain point of knowledge; as, to calculate an eclipse. We compute by combining given numbers, in order to learn the grand result. We reckon and count in carrying out the details of a computation. These words are also used in a secondary and figurative sense. \"Calculate is rather a conjection from what is, as to what may be; computation is a rational estimate of what has been, from what is; reckoning is a conclusive conviction, a pleasing assurance that a thing will happen; counting indicates an expectation. We calculate on a gain; we compute any loss sustained, or the amount of any mischief done; we reckon on a promised pleasure; we count the hours and minutes until the time of enjoyment arrives\" Crabb.\n\nTo make a calculation; to forecast caonsequences; to estimate; to compute. The strong passions, whether good or bad, never calculate. F. W. Robertson.
calculated |1. Worked out by calculation; as calculated tables for computing interest; ascertained or conjectured as a result of calculation; as, the calculated place of a planet; the calculated velocity of a cannon ball. 2. Adapted by calculation, contrivance. or forethought to accomplish a purpose; as, to use arts calculated to deceive the people. 3. Likely to produce a certain effect, whether intended or not; fitted; adapted; suited. The only danger that attends multiplicity of publication is, that some of them may be calculated to injure rather than benefit society. Goldsmith. The minister, on the other hand, had never gone through an experience calculated to lead him beyond the scope of generally received laws. Hawthorne.
calculating |1. Of or pertaining to mathematical calculations; performing or able to perform mathematical calculations. 2. Given to contrivance or forethought; forecasting; scheming; as, a cool calculating disposition. Calculating machine, a machine for the mechanical performance of mathematical operations, for the most part invented by Charles Babbage and G. and E. Scheutz. It computes logarithmic and other mathematical tables of a high degree of intricacy, imprinting the results on a leaden plate, from which a stereotype plate is then directly made.\n\nThe act or process of making mathematical computations or of estimating results.
calculation |1. The act or process, or the result, of calculating; computation; reckoning, estimate. \"The calculation of eclipses.\" Nichol. The mountain is not so his calculation makes it. Boyle. 2. An expectation based on cirumstances. The lazy gossips of the port, Abborrent of a calculation crost, Began to chafe as at a personal wrong. Tennyson.
calculative |Of or pertaining to calculation; involving calculation. Long habits of calculative dealings. Burke.
calculator |One who computes or reckons: one who estimates or considers the force and effect of causes, with a view to form a correct estimate of the effects. Ambition is no exact calculator. Burke.
calculatory |Belonging to calculation. Sherwood.
calcule |Reckoning; computation. [Obs.] Howell.\n\nTo calculate [Obs.] Chaucer.
calculi |See Calculus.
calculous |1. Of the nature of a calculus; like stone; gritty; as, a calculous concretion. Sir T. Browne. 2. Caused, or characterized, by the presence of a calculus or calculi; a, a calculous disorder; affected with gravel or stone; as, a calculous person.
calculus |1. (Med.)  Any solid concretion, formed in any part of the body, but most frequent in the organs that act as reservoirs, and in the passages connected with them; as, biliary calculi; urinary calculi, etc. 2. (Math.)  A method of computation; any process of reasoning by the use of symbols; any branch of mathematics that may involve calculation. Barycentric calculus, a method of treating geometry by defining a point as the center of gravity of certain other points to which coëfficients or weights are ascribed. -- Calculus of functions, that branch of mathematics which treats of the forms of functions that shall satisfy given conditions. -- Calculus of operations, that branch of mathematical logic that treats of all operations that satisfy given conditions. -- Calculus of probabilities, the science that treats of the computation of the probabilities of events, or the application of numbers to chance. -- Calculus of variations, a branch of mathematics in which the laws of dependence which bind the variable quantities together are themselves subject to change. -- Differential calculus, a method of investigating mathematical questions by using the ratio of certain indefinitely small quantities called differentials. The problems are primarily of this form: to find how the change in some variable quantity alters at each instant the value of a quantity dependent upon it. -- Exponential calculus, that part of algebra which treats of exponents. -- Imaginary calculus, a method of investigating the relations of real or imaginary quantities by the use of the imaginary symbols and quantities of algebra. -- Integral calculus, a method which in the reverse of the differential, the primary object of which is to learn from the known ratio of the indefinitely small changes of two or more magnitudes, the relation of the magnitudes themselves, or, in other words, from having the differential of an algebraic expression to find the expression itself.
caldron |A large kettle or boiler of copper, brass, or iron. [Written also cauldron.] \"Caldrons of boiling oil.\" Prescott.
caleche |See Calash.
caledonia |The ancient Latin name of Scotland; -- still used in poetry.
caledonian |Of or pertaining to Caledonia or Scotland; Scottish; Scotch. -- n.  A native or inhabitant of Caledonia or Scotland.
caledonite |A hydrous sulphate of copper and lead, found in some parts of Caledonia or Scotland.
calefacient |Making warm; heating. [R.]\n\nA substance that excites warmth in the parts to which it is applied, as mustard.
calefaction |1. The act of warming or heating; the production of heat in a body by the action of fire, or by communication of heat from other bodies. 2. The state of being heated.
calefactive |See Calefactory. [R.]
calefactor |A heater; one who, or that which, makes hot, as a stove, etc.
calefactory |Making hot; producing or communicating heat.\n\n1. (Eccl.)  An apartment in a monastery, warmed and used as a sitting room. 2. A hollow sphere of metal, filled with hot water, or a chafing dish, placed on the altar in cold weather for the priest to warm his hands with.
