tease |1. To comb or card, as wool or flax. \"Teasing matted wool.\" Wordsworth. 2. To stratch, as cloth, for the purpose of raising a nap; teasel. 3. (Anat.)  To tear or separate into minute shreds, as with needles or similar instruments. 4. To vex with importunity or impertinence; to harass, annoy, disturb, or irritate by petty requests, or by jests and raillery; to plague. Cowper. He . . . suffered them to tease him into acts directly opposed to his strongest inclinations. Macaulay. Syn. -- To vex; harass: annoy; disturb; irritate; plague; torment; mortify; tantalize; chagrin. -- Tease, Vex. To tease is literally to pull or scratch, and implies a prolonged annoyance in respect to little things, which is often more irritating, and harder to bear, than severe pain. Vex meant originally to seize and bear away hither and thither, and hence, to disturb; as, to vex the ocean with storms. This sense of the term now rarely occurs; but vex is still a stronger word than tease, denoting the disturbance or anger created by minor provocations, losses, disappointments, etc. We are teased by the buzzing of a fly in our eyes; we are vexed by the carelessness or stupidity of our servants. Not by the force of carnal reason, But indefatigable teasing. Hudibras. In disappointments, where the affections have been strongly placed, and the expectations sanguine, particularly where the agency of others is concerned, sorrow may degenerate into vexation and chagrin. Cogan. Tease tenon (Joinery), a long tenon at the top of a post to receive two beams crossing each other one above the other.\n\nOne who teases or plagues. [Colloq.]
teasel |1. (Bot.)  A plant of the genus Dipsacus, of which one species (D. fullonum) bears a large flower head covered with stiff, prickly, hooked bracts. This flower head, when dried, is used for raising a nap on woolen cloth. Note: Small teasel is Dipsacus pilosus, wild teasel is D. sylvestris. 2. A bur of this plant. 3. Any contrivance intended as a substitute for teasels in dressing cloth. Teasel frame, a frame or set of iron bars in which teasel heads are fixed for raising the nap on woolen cloth.\n\nTo subject, as woolen cloth, to the action of teasels, or any substitute for them which has an effect to raise a nap.
teaseler |One who uses teasels for raising a nap on cloth. [Written also teaseller, teasler.]
teaseling |The cutting and gathering of teasels; the use of teasels. [Written also teaselling, teazling.]
teaser |1. One who teases or vexes. 2. (Zoöl.)  A jager gull. [Prov. Eng.]
teasle |See Teasel.
teaspoon |A small spoon used in stirring and sipping tea, coffee, etc., and for other purposes.
teaspoonful |As much as teaspoon will hold; enough to fill a teaspoon; -- usually reckoned at a fluid dram or one quarter of a tablespoonful.
teat |1. The protuberance through which milk is drawn from the udder or breast of a mammal; a nipple; a pap; a mammilla; a dug; a tit. 2. (Mach.)  A small protuberance or nozzle resembling the teat of an animal.
teated |Having protuberances resembling the teat of an animal.
teathe |See Tath. [Prov. Eng.]
teatish |Peevish; tettish; fretful; -- said of a child. See Tettish. [Obs.] Beau. & Fl.
teaze-hole |The opening in the furnaces through which fuel is introduced.
teazel |See Teasel.
teazer |The stoker or fireman of a furnace, as in glass works. Tomlinson.
teazle |See Teasel.
tebeth |The tenth month of the Jewish ecclesiastical year, answering to a part of December with a part of January. Esther ii. 16.
techily |In a techy manner.
techiness |The quality or state of being techy.
technic |Technical.\n\n1. The method of performance in any art; technical skill; artistic execution; technique. They illustrate the method of nature, not the technic of a manlike Artificer. Tyndall. 2. pl.  Technical terms or objects; things pertaining to the practice of an art or science.
technical |Of or pertaining to the useful or mechanic arts, or to any science, business, or the like; specially appropriate to any art, science, or business; as, the words of an indictment must be technical. Blackstone.
technicality |1. The quality or state of being technical; technicalness. 2. That which is technical, or peculiar to any trade, profession, sect, or the like. The technicalities of the sect. Palfrey.
technically |In a technical manner; according to the signification of terms as used in any art, business, or profession.
technicalness |The quality or state of being technical; technicality.
technicals |Those things which pertain to the practical part of an art, science, or profession; technical terms; technics.
technician |A technicist; esp., one skilled particularly in the technical details of his work.
technicist |One skilled to technics or in one or more of the practical arts.
technicological |Technological; technical. [R.] Dr. J. Scott.
technicology |Technology. [R.]
technics |The doctrine of arts in general; such branches of learning as respect the arts.
techniphone |A dumb gymnastic apparatus for training the hands of pianists and organists, as to a legato touch.
technique |Same as Technic, n.
technism |Technicality.
technography |Description of the arts and  crafts of tribes and peoples. -- Tech`no*graph\"ic, Tech`no*graph\"ic*al (#), a.
technologic |Technological.
technological |Of or pertaining to technology.
technologist |One skilled in technology; one who treats of arts, or of the terms of arts.
technology |Industrial science; the science of systematic knowledge of the industrial arts, especially of the more important manufactures, as spinning, weaving, metallurgy, etc. Note: Technology is not an independent science, having a set of doctrines of its own, but consists of applications of the principles established in the various physical sciences (chemistry, mechanics, mineralogy, etc.) to manufacturing processes. Internat. Cyc.
techy |Peevish; fretful; irritable.
tectibranch |One of the Tectibranchiata. Also used adjectively.
tectibranchia |Same as Tectibranchiata.
tectibranchiata |An order, or suborder, of gastropod Mollusca in which the gills are usually situated on one side of the back, and protected by a fold of the mantle. When there is a shell, it is usually thin and delicate and often rudimentary. The aplysias and the bubble shells are examples.
tectibranchiate |Having the gills covered by the mantle; of or pertaining to the Tectibranchiata. -- n.  A tectibranchiate mollusk.
tectly |Covertly; privately; secretly. [Obs.] Holinshed.
tectology |A division of morphology created by Haeckel; the science of organic individuality constituting the purely structural portion of morphology, in which the organism is regarded as composed of organic individuals of different orders, each organ being considered an individual. See Promorphology, and Morphon.
tectonic |Of or pertaining to building or construction; architectural.
tectonics |The science, or the art, by which implements, vessels, dwellings, or other edifices, are constructed, both agreeably to the end for which they are designed, and in conformity with artistic sentiments and ideas.
tectorial |Of or pertaining to covering; -- applied to a membrane immediately over the organ of Corti in the internal ear.
tectrices |The wing coverts of a bird. See Covert, and Illust. of Bird.
tecum |See Tucum.
ted |To spread, or turn from the swath, and scatter for drying, as new-mowed grass; -- chiefly used in the past participle. The smell of grain or tedded grass. Milton. The tedded hay and corn sheaved in one field. Coleridge.
tedder |A machine for stirring and spreading hay, to expedite its drying.\n\nSame as Tether.\n\nSame as Tether.
tedesco |German; -- used chiefly of art, literature, etc.
tedge |The gate of a mold, through which the melted metal is poured; runner, geat.
tediosity |Tediousness. [Obs.]
tedious |Involving tedium; tiresome from continuance, prolixity, slowness, or the like; wearisome. -- Te\"di*ous*ly, adv. -- Te\"di*ous*ness, n. I see a man's life is a tedious one. Shak. I would not be tedious to the court. Bunyan. Syn. -- Wearisome; fatiguing. See Irksome.
tedium |Irksomeness; wearisomeness; tediousness. [Written also tædium.] Cowper. To relieve the tedium, he kept plying them with all manner of bams. Prof. Wilson. The tedium of his office reminded him more strongly of the willing scholar, and his thoughts were rambling. Dickens.
tee |(a) The mark aimed at in curling and in quoits. (b) The nodule of earth from which the ball is struck in golf.\n\nA short piece of pipe having a lateral outlet, used to connect a line of pipe with a pipe at a right angle with the line; -- so called because it resembles the letter T in shape.
tee iron |See T iron, under T.
tee-to-tum |A workingmen's resort conducted under religious influences as a counteractant to the drinking saloon. [Colloq. or Cant]
teeing ground |The space from within which the ball must be struck in beginning the play for each hole.
teek |See Teak. [Obs.]
teel |Sesame. [Sometimes written til.] Teel oil, sesame oil.
teelseed |The seed of sesame.
teem |1. To pour; -- commonly followed by out; as, to teem out ale. [Obs. or Prov. Eng.] Swift. 2. (Steel Manuf.)  To pour, as steel, from a melting pot; to fill, as a mold, with molten metal.\n\nTo think fit. [Obs. or R.] G. Gifford.\n\n1. To bring forth young, as an animal; to produce fruit, as a plant; to bear; to be pregnant; to conceive; to multiply. If she must teem, Create her child of spleen. Shak. 2. To be full, or ready to bring forth; to be stocked to overflowing; to be prolific; to abound. His mind teeming with schemes of future deceit to cover former villainy. Sir W. Scott. The young, brimful of the hopes and feeling which teem in our time. F. Harrison.\n\nTo produce; to bring forth. [R.] That [grief] of an hour's age doth hiss the speaker; Each minute teems a new one. Shak.
teemer |One who teems, or brings forth.
teemful |1. Pregnant; prolific. [Obs.] 2. Brimful. [Obs.] Ainsworth.
teeming |Prolific; productive. Teeming buds and cheerful appear. Dryden.
teemless |Not fruitful or prolific; barren; as, a teemless earth. [Poetic] Dryden.
teen |Grief; sorrow; affiction; pain. [Archaic] Chaucer. Spenser. With public toil and private teen Thou sank'st alone. M. Arnold.\n\nTo excite; to provoke; to vex; to affict; to injure. [Obs.] Piers Plowman.\n\nTo hedge or fence in; to inclose. [Prov. Eng.] Halliwell.
teenage |The longer wood for making or mending fences. [Prov. Eng.] Halliwell.
teend |To kindle; to burn. [Obs.] Herrick.
teenful |Full of teen; harmful; grievous; grieving; afflicted. [Obs.] Piers Plowman.
teens |The years of one's age having the termination -teen, beginning with thirteen and ending with nineteen; as, a girl in her teens.
teeny |Very small; tiny. [Colloq.]\n\nFretful; peevish; pettish; cross. [Prov. Eng.]
teeong |The mino bird.
teest |A tinsmith's stake, or small anvil.
teeswater |1. A breed of cattle formerly bred in England, but supposed to have originated in Holland and to have been the principal stock from which the shorthorns were derived. 2.  An old English breed of sheep allied to the Leicester.
teetan |A pipit. [Prov. Eng.]
teetee |1. (Zoöl.)  Any one of several species of small, soft-furred South American monkeys belonging to Callithrix, Chrysothrix, and allied genera; as, the collared teetee (Callithrix torquatus), and the squirrel teetee (Chrysothrix sciurea). Called also pinche, titi, and saimiri. See Squirrel monkey, under Squirrel. 2. (Zoöl.)  A diving petrel of Australia (Halodroma wrinatrix).
teeter |To move up and down on the ends of a balanced plank, or the like, as children do for sport; to seesaw; to titter; to titter- totter. [U. S.] [The bobolink] alit upon the flower, and teetered up and down. H. W. Beecher.
teeter-tail |The spotted sandpiper. See the Note under Sandpiper.
teeth |pl. of Tooth.\n\nTo breed, or grow, teeth.
teething |The process of the first growth of teeth, or the phenomena attending their issue through the gums; dentition.
teetotal |Entire; total. [Colloq.]
teetotaler |One pledged to entire abstinence from all intoxicating drinks.
teetotalism |The principle or practice of entire abstinence, esp. from intoxicating drinks.
teetotally |Entirely; totally. [Colloq.]
teetotum |A child's toy, somewhat resembling a top, and twirled by the fingers. The staggerings of the gentleman . . . were like those of a teetotum nearly spent. Dickens.
teetuck |The rock pipit. [Prov. Eng.]
teeuck |The lapwing. [Prov. Eng.]
teewit |The pewit. [Prov. Eng.]
teg |A sheep in its second year; also, a doe in its second year. [Prov. Eng.] Halliwell.
tegmen |1. A tegument or covering. 2. (Bot.)  The inner layer of the coating of a seed, usually thin and delicate; the endopleura. 3. (Zoöl.)  One of the elytra of an insect, especially of certain Orthoptera. 4. pl. (Zoöl.)  Same as Tectrices.
tegmental |Of or pertaining to a tegument or tegmentum; as, the tegmental layer of the epiblast; the tegmental cells of the taste buds.
tegmentum |A covering; -- applied especially to the bundles of longitudinal fibers in the upper part of the crura of the cerebrum.
teguexin |A large South American lizard (Tejus teguexin). It becomes three or four feet long, and is blackish above, marked with yellowish spots of various sizes. It feeds upon fruits, insects, reptiles, young birds, and birds' eggs. The closely allied species Tejus rufescens is called red teguexin.
tegula |A small appendage situated above the base of the wings of Hymenoptera and attached to the mesonotum.
tegular |Of or pertaining to a tile; resembling a tile, or arranged like tiles; consisting of tiles; as, a tegular pavement. -- Teg\"u*lar*ly, adv.
tegulated |Composed of small plates, as of horn or metal, overlapping like tiles; -- said of a kind of ancient armor. Fairholt.
tegument |1. A cover or covering; an integument. 2. Especially, the covering of a living body, or of some part or organ of such a body; skin; hide.
tegumentary |Of or pertaining to a tegument or teguments; consisting of teguments; serving as a tegument or covering.
teil |The lime tree, or linden; -- called also teil tree.
teind |A tithe. [Scot.] Jamieson.
teine |See Teyne. [Obs.] Chaucer.
teinland |Land granted by the crown to a thane or lord. Burrill.
teinoscope |An instrument formed by combining prisms so as to correct the chromatic aberration of the light while linear dimensions of objects seen through the prisms are increased or diminished; -- called also prism telescope. Sir D. Brewster.
teint |Tint; color; tinge, See Tint. [Obs.] Time shall . . . embrown the teint. Dryden.
teinture |Color; tinge; tincture. [Obs.] Holland.
tek |A Siberian ibex.
tel-el-amarna |A station on the Nile, midway between Thebes and Memphis, forming the site of the capital of Amenophis IV., whose archive chamber was discovered there in 1887. A collection of tablets (called the Tel-el-Amarna, or the Amarna, tablets) was found here, forming the Asiatic correspondence (Tel-el-Amarna letters) of Amenophis IV. and his father, Amenophis III., written in cuneiform characters. It is an important source of our knowledge of Asia from about 1400 to 1370 b. c..
telamones |Same as Atlantes.
telangiectasis |Dilatation of the capillary vessels.
telangiectasy |Telangiectasis.
telarly |In a weblike manner. [Obs.] \"Telarly interwoven.\" Sir T. Browne.
telary |Of or pertaining to a web; hence, spinning webs; retiary. \"Pictures of telary spiders.\" Sir T. Browne.
telautogram |A message transmitted and recorded by a teleautograph.
telautograph |A facsimile telegraph for reproducing writing, pictures, maps, etc. In the transmitter the motions of the pencil are communicated by levers to two rotary shafts, by which variations in current are produced in two separate circuits. In the receiver these variations are utilized by electromagnetic devices and levers to move a pen as the pencil moves. --Tel`au*tog\"ra*phist (#), n.
tele-iconograph |1. An instrument essentially the same as the telemetrograph. 2.  A form of facsimile telegraph.
telechirograph |An instrument for  telegraphically transmitting and receiving handwritten messages, as photographically by a beam of light from a mirror.
teledu |An East Indian carnivore (Mydaus meliceps) allied to the badger, and noted for the very offensive odor that it emits, somewhat resembling that of a skunk. It is a native of the high mountains of Java and Sumatra, and has long, silky fur. Called also stinking badger, and stinkard.
telega |A rude four-wheeled, springless wagon, used among the Russians.
telegony |The supposed influence of a father upon offspring subsequent to his own, begotten of the same mother by another father. -- Te*leg\"o*nous (#), a.
telegram |A message sent by telegraph; a telegraphic dispatch. Note: \"A friend desires us to give notice that he will ask leave, at some convenient time, to introduce a new word into the vocabulary. It is telegram, instead of telegraphic dispatch, or telegraphic communication.\" Albany [N. Y.] Evening Journal (April 6, 1852).
telegrammic |Pertaining to, or resembling, a telegram; laconic; concise; brief. [R.]
telegraph |An apparatus, or a process, for communicating intelligence rapidly between distant points, especially by means of preconcerted visible or audible signals representing words or ideas, or by means of words and signs, transmitted by electrical action. Note: The instruments used are classed as indicator, type-printing, symbol-printing, or chemical-printing telegraphs, according as the intelligence is given by the movements of a pointer or indicator, as in Cooke & Wheatstone's (the form commonly used in England), or by impressing, on a fillet of paper, letters from types, as in House's and Hughe's, or dots and marks from a sharp point moved by a magnet, as in Morse's, or symbols produced by electro-chemical action, as in Bain's. In the offices in the United States the recording instrument is now little used, the receiving operator reading by ear the combinations of long and short intervals of sound produced by the armature of an electro-magnet as it is put in motion by the opening and breaking of the circuit, which motion, in registering instruments, traces upon a ribbon of paper the lines and dots used to represent the letters of the alphabet. See Illustration in Appendix. Acoustic telegraph. See under Acoustic. -- Dial telegraph, a telegraph in which letters of the alphabet and numbers or other symbols are placed upon the border of a circular dial plate at each station, the apparatus being so arranged that the needle or index of the dial at the receiving station accurately copies the movements of that at the sending station. -- Electric telegraph, or Electro-magnetic telegraph, a telegraph in which an operator at one station causes words or signs to be made at another by means of a current of electricity, generated by a battery and transmitted over an intervening wire. -- Facsimile telegraph. See under Facsimile. -- Indicator telegraph. See under Indicator. -- Pan-telegraph, an electric telegraph by means of which a drawing or writing, as an autographic message, may be exactly reproduced at a distant station. -- Printing telegraph, an electric telegraph which automatically prints the message as it is received at a distant station, in letters, not signs. -- Signal telegraph, a telegraph in which preconcerted signals, made by a machine, or otherwise, at one station, are seen or heard and interpreted at another; a semaphore. -- Submarine telegraph cable, a telegraph cable laid under water to connect stations separated by a body of water. -- Telegraph cable, a telegraphic cable consisting of several conducting wires, inclosed by an insulating and protecting material, so as to bring the wires into compact compass for use on poles, or to form a strong cable impervious to water, to be laid under ground, as in a town or city, or under water, as in the ocean. -- Telegraph plant (Bot.), a leguminous plant (Desmodium gyrans) native of the East Indies. The leaflets move up and down like the signals of a semaphore.\n\nTo convey or announce by telegraph.
telegraph plant |An East Indian tick trefoil (Meibomia gyrans), whose lateral leaflets jerk up and down like the arms of a semaphore, and also rotate on their axes.
telegrapher |One who sends telegraphic messages; a telegraphic operator; a telegraphist.
telegraphic |Of or pertaining to the telegraph; made or communicated by a telegraph; as, telegraphic signals; telegraphic art; telegraphic intelligence.
telegraphical |Telegraphic. -- Tel`e*graph\"ic*al*ly, adv.
telegraphist |One skilled in telegraphy; a telegrapher.
telegraphone |An instrument for recording and reproducing sound by local magnetization of a steel wire, disk, or ribbon, moved against the pole of a magnet connected electrically with a telephone receiver, or the like.
telegraphoscope |An instrument for telegraphically transmitting a picture and reproducing its image as a positive or negative. The transmitter includes a camera obscura and a row of minute selenium cells. The receiver includes an oscillograph, ralay, equilibrator, and an induction coil the sparks from which perforate a paper with tiny holes that form the image.
telegraphy |The science or art of constructing, or of communicating by means of, telegraphs; as, submarine telegraphy.
telehydrobarometer |An instrument for indicating the level of water in a distant tank or reservior.
telelectric |Of or pertaining to transmission, as of music, to a distance by electricity.
telelectroscope |Any apparatus for making distant objects visible by the aid of electric transmission.
telemechanic |Designating, or pert. to, any device for operating mechanisms at a distance. --Tel`e*mech\"a*nism (#), n.
telemeteorograph |Any apparatus recording meteorological phenomena at a distance from the measuring apparatus, as by electricity or by compressed air; esp., an apparatus recording conditions at many distant stations at a central office. -- Tel`e*me`te*or*o*graph\"ic (#), a.
telemeter |An instrument used for measuring the distance of an object from an observer; as, a telescope with a micrometer for measuring the apparent diameter of an object whose real dimensions are known.
telemetrograph |A combination of the camera lucida and telescope for drawing and measuring distant objects. -- Tel`e*me*trog\"ra*phy (#), n. -- Tel`e*met`ro*graph\"ic (#), a.
telemotor |A hydraulic device by which the movement of the wheel on the bridge operates the steering gear at the stern.
telenergy |Display of force or energy at a distance, or without contact; - - applied to mediumistic phenomena. -- Tel`en*er\"gic (#), a.
telengiscope |An instrument of such focal length that it may be used as an observing telescope for objects close at hand or as a long-focused microscope.
teleocephial |An extensive order of bony fishes including most of the common market species, as bass, salmon, cod, perch, etc.
teleological |Of or pertaining to teleology, or the doctrine of design. -- Te`le*o*log\"ic*al*ly, adv.
teleologist |One versed in teleology.
teleology |The doctrine of the final causes of things; specif. (Biol.),  the doctrine of design, which assumes that the phenomena of organic life, particularly those of evolution, are explicable only by purposive causes, and that they in no way admit of a mechanical explanation or one based entirely on biological science; the doctrine of adaptation to purpose.
teleophore |Same as Gonotheca.
teleorganic |Vital; as, teleorganic functions.
teleosaur |Any one of several species of fossil suarians belonging to Teleosaurus and allied genera. These reptiles are related to the crocodiles, but have biconcave vertebræ.
teleosaurus |A genus of extinct crocodilian reptiles of the Jurassic period, having a long and slender snout.
teleost |One of the Teleosti. Also used adjectively.
teleostean |Of or pertaining to the teleosts. -- n.  A teleostean fish.
teleostei |A subclass of fishes including all the ordinary bony fishes as distinguished from the ganoids.
teleostomi |An extensive division of fishes including the ordinary fishes (Teleostei) and the ganoids.
teleozoic |Having tissued composed of cells.
teleozooen |A metazoan.
teleozoon |A metazoan.
telepathy |The sympathetic affection of one mind by the thoughts, feelings, or emotions of another at a distance, without communication through the ordinary channels of sensation. -- Tel`e*path\"ic, a. -- Te*lep\"a*thist, n.
telepheme |A message by a telephone. [Recent]
telephone |An instrument for reproducing sounds, especially articulate speech, at a distance. Note: The ordinary telephone consists essentially of a device by which currents of electricity, produced by sounds through the agency of certain mechanical devices and exactly corresponding in duration and intensity to the vibrations of the air which attend them, are transmitted to a distant station, and there, acting on suitable mechanism, reproduce similar sounds by repeating the vibrations. The necessary variations in the electrical currents are usually produced by means of a microphone attached to a thin diaphragm upon which the voice acts, and are intensified by means of an induction coil. In the magnetic telephone, or magneto-telephone, the diaphragm is of soft iron placed close to the pole of a magnet upon which is wound a coil of fine wire, and its vibrations produce corresponding vibrable currents in the wire by induction. The mechanical, or string, telephone is a device in which the voice or sound causes vibrations in a thin diaphragm, which are directly transmitted along a wire or string connecting it to a similar diaphragm at the remote station, thus reproducing the sound. It does not employ electricity.\n\nTo convey or announce by telephone.
telephone exchange |A central office in which the wires of telephones may be connected to permit conversation.
telephonic |1. Conveying sound to a great distance. 2. Of or pertaining to the telephone; by the telephone.
telephonically |By telephonic means or processes; by the use of the telephone.
telephony |The art or process of reproducing sounds at a distance, as with the telephone.
telephote |A telelectric apparatus for producing images of visible objects at a distance.
telephoto |Telephotographic; specif., designating a lens consisting of a combination of lenses specially designed to give a large image of a distant object in a camera of relatively short focal length.
telephotograph |A photograph, image, or impression, reproduced by or taken with a telephotographic apparatus.
telephotographic |Designating, or pertaining to, the process of telephotography.
telephotography |1. The photography of distant objects in more enlarged form than is possible by the ordinary means, usually by a camera provided with a telephoto lens or mounted in place of the eyepiece of a telescope, so that the real or a magnified image falls on the sensitive plate. 2.  Art or process of electrically transmitting and reproducing photographic or other pictures at a distance by methods similar to those used in electric telegraphy. 3.  Less properly, phototelegraphy.
telepolariscope |A polariscope arranged to be attached to a telescope. Lockyer.
telerythin |A red crystalline compound related to, or produced from, erythrin. So called because regarded as the end of the series of erythrin compounds.
