aluminum |See Aluminium.
amalgamation |1. The act or operation of compounding mercury with another metal; -- applied particularly to the process of separating gold and silver from their ores by mixing them with mercury. Ure. 2. The mixing or blending of different elements, races, societies, etc.; also, the result of such combination or blending; a homogeneous union. Macaulay.
amalgamative |Characterized by amalgamation.
amalgamator |One who, or that which, amalgamates. Specifically: A machine for separating precious metals from earthy particles by bringing them in contact with a body of mercury with which they form an amalgam.
amalgamize |To amalgamate. [R.]
amandine |1. The vegetable casein of almonds. 2. A kind of cold cream prepared from almonds, for chapped hands, etc.
amanita |A genus of poisonous fungi of the family Agaricaceæ, characterized by having a volva, an annulus, and white spores. The species resemble edible mushrooms, and are frequently mistaken for them. Amanita muscaria, syn. Agaricus muscarius, is the fly amanita, or fly agaric; and A. phalloides is the death cup.
amanitine |The poisonous principle of some fungi.
amanuensis |A person whose employment is to write what another dictates, or to copy what another has written.
amaracus |A fragrant flower. Tennyson.
amarant |Amaranth, 1. [Obs.] Milton.
amarantaceous |Of, pertaining to, or resembling, the family of plants of which the amaranth is the type.
amaranth |1. An imaginary flower supposed never to fade. [Poetic] 2. (Bot.)  A genus of ornamental annual plants (Amaranthus) of many species, with green, purplish, or crimson flowers. 2. A color inclining to purple.
amaranthine |1. Of or pertaining to amaranth. \"Amaranthine bowers.\" Pope. 2. Unfading, as the poetic amaranth; undying. They only amaranthine flower on earth Is virtue. Cowper. 3. Of a purplish color. Buchanan.
amaranthus |Same as Amaranth.
amarantus |Same as Amaranth.
amarine |A characteristic crystalline substance, obtained from oil of bitter almonds.
amaritude |Bitterness. [R.]
amaryllidaceous |Of, pertaining to, or resembling, an order of plants differing from the lily family chiefly in having the ovary below the
amaryllideous |Of, pertaining to, or resembling, an order of plants differing from the lily family chiefly in having the ovary below the
amaryllis |1. A pastoral sweetheart. To sport with Amaryllis in the shade. Milton. 2. (bot.) (a) A family of plants much esteemed for their beauty, including the narcissus, jonquil, daffodil, agave, and others. (b) A genus of the same family, including the Belladonna lily.
amass |To collect into a mass or heap; to gather a great quantity of; to accumulate; as, to amass a treasure or a fortune; to amass words or phrases. The life Homer has been written by amassing all the traditions and hints the writers could meet with. Pope. Syn. -- To accumulate; heap up; pile.\n\nA mass; a heap. [Obs.] Sir H. Wotton.
amassable |Capable of being amassed.
amasser |One who amasses.
amassette |An instrument of horn used for collecting painters' colors on the stone in the process of grinding.
amassment |An amassing; a heap collected; a large quantity or number brought together; an accumulation. An amassment of imaginary conceptions. Glanvill.
amasthenic |Uniting the chemical rays of light into one focus, as a certain kind of lens; amacratic.
amate |To dismay; to dishearten; to daunt. [Obs. or Archaic] The Silures, to amate the new general, rumored the overthrow greater than was true. Milton.\n\nTo be a mate to; to match. [Obs.] Spenser.
amateur |A person attached to a particular pursuit, study, or science as to music or painting; esp. one who cultivates any study or art, from taste or attachment, without pursuing it professionally.
amateurish |In the style of an amateur; superficial or defective like the work of an amateur. -- Am`a*teur\"ish*ly, adv. -- Am`a*teur\"ish*ness, n.
amateurism |The practice, habit, or work of an amateur.
amateurship |The quality or character of an amateur.
amative |Full of love; amatory.
amativeness |The faculty supposed to influence sexual desire; propensity to love. Combe.
amatorial |Of or pertaining to a lover or to love making; amatory; as, amatorial verses.
amatorially |In an amatorial manner.
amatorian |Amatory. [R.] Johnson.
amatorious |Amatory. [Obs.] \"Amatorious poem.\" Milton.
amatory |Pertaining to, producing, or expressing, sexual love; as, amatory potions.
amaurosis |A loss or decay of sight, from loss of power in the optic nerve, without any perceptible external change in the eye; -- called also gutta serena, the \"drop serene\" of Milton.
amaurotic |Affected with amaurosis; having the characteristics of amaurosis.
amaze |1. To bewilder; to stupefy; to bring into a maze. [Obs.] A labyrinth to amaze his foes. Shak. 2. To confound, as by fear, wonder, extreme surprise; to overwhelm with wonder; to astound; to astonish greatly. \"Amazing Europe with her wit.\" Goldsmith. And all the people were amazed, and said, Is not this the son of David Matt. xii. 23. Syn. -- To astonish; astound; confound; bewilder; perplex; surprise. -- Amaze, Astonish. Amazement includes the notion of bewilderment of difficulty accompanied by surprise. It expresses a state in which one does not know what to do, or to say, or to think. Hence we are amazed at what we can not in the least account for. Astonishment also implies surprise. It expresses a state in which one is stunned by the vastness or greatness of something, or struck with some degree of horror, as when one is overpowered by the\n\nTo be astounded. [Archaic] B. Taylor.\n\nBewilderment, arising from fear, surprise, or wonder; amazement. [Chiefly poetic] The wild, bewildered Of one to stone converted by amaze. Byron.
amazedly |In amazement; with confusion or astonishment. Shak.
amazedness |The state of being amazed, or confounded with fear, surprise, or wonder. Bp. Hall.
amazeful |Full of amazement. [R.]
amazement |1. The condition of being amazed; bewilderment [Obs.]; overwhelming wonder, as from surprise, sudden fear, horror, or admiration. His words impression left Of much amazement. Milton. 2. Frenzy; madness. [Obs.] Webster (1661).
amazing |Causing amazement; very wonderful; as, amazing grace. -- A*maz\"ing*ly, adv.
amazon |1. One of a fabulous race of female warriors in Scythia; hence, a female warrior. 2. A tall, strong, masculine woman; a virago. 3. (Zoöl.)  A name numerous species of South American parrots of the genus Chrysotis Amazon ant (Zoöl.), a species of ant (Polyergus rufescens), of Europe and America. They seize by conquest the larvæ and nymphs other species and make slaves of them in their own nests.
amazon stone |A variety of feldspar, having a verdigris-green color.
amazonian |1. Pertaining to or resembling an Amazon; of masculine manners; warlike. Shak. 2. Of or pertaining to the river Amazon in South America, or to its valley.
amazonite |A variety of feldspar, having a verdigris-green color.
amb- |A prefix meaning about, around; -- used in words derived from the Latin.
ambages |A circuit; a winding. Hence: Circuitous way or proceeding; quibble; circumlocution; indirect mode of speech. After many ambages, perspicuously define what this melancholy is. Burton.
ambaginous |Ambagious. [R.]
ambagious |Circumlocutory; circuitous. [R.]
ambagitory |Ambagious. [R.]
ambary |A valuable East Indian fiber plant (Hibiscus cannabinus), or its fiber, which is used throughout India for making ropes, cordage, and a coarse canvas and sackcloth; --called also brown Indian hemp.
ambary hemp |A valuable East Indian fiber plant (Hibiscus cannabinus), or its fiber, which is used throughout India for making ropes, cordage, and a coarse canvas and sackcloth; --called also brown Indian hemp.
ambassade |1. The mission of an ambassador. [Obs.] Carew. 2. An embassy. [Obs.] Strype.
ambassador |1. A minister of the highest rank sent a foreign court to represent there his sovereign or country. Note: Ambassador are either ordinary [or resident] or extraordinary, that is, sent upon some special or unusual occasion or errand. Abbott. 2. An official messenger and representative.
ambassadorial |Of or pertaining to an ambassador. H. Walpole.
ambassadorship |The state, office, or functions of an ambassador.
ambassadress |A female ambassador; also, the wife of an ambassador. Prescott.
ambassage |Same as Embassage. [Obs. or R.] Luke xiv. 32.
ambassy |See Embassy, the usual spelling. Helps.
amber |1. (Min.)  A yellowish translucent resin resembling copal, found as a fossil in alluvial soils, with beds of lignite, or on the seashore in many places. It takes a fine polish, and is used for pipe mouthpieces, beads, etc., and as a basis for a fine varnish. By friction, it becomes strongly electric. 2. Amber color, or anything amber-colored; a clear light yellow; as, the amber of the sky. 3. Ambergris. [Obs.] You that smell of amber at my charge. Beau. & Fl. 4. The balsam, liquidambar. Black amber, and old and popular name for jet.\n\n1. Consisting of amber; made of amber. \"Amber bracelets.\" Shak. 2. Resembling amber, especially in color; amber-colored. \"The amber morn.\" Tennyson.\n\n1. To scent or flavor with ambergris; as, ambered wine. 2. To preserve in amber; as, an ambered fly.
amber fish |A fish of the southern Atlantic coast (Seriola Carolinensis.)
amber room |A room formerly in the Czar's Summer Palace in Russia, which was richly decorated with walls and fixtures made from amber.  The amber was removed by occupying German troops during the Second World War and has, as of 1997, never been recovered.  The room is being recreated from old photographs by Russian artisans. PJC
amber seed |Seed of the Hibiscus abelmoschus, somewhat resembling millet, brought from Egypt and the West Indies, and having a flavor like that of musk; musk seed. Chambers.
amber tree |A species of Anthospermum, a shrub with evergreen leaves, which, when bruised, emit a fragrant odor.
ambergrease |See Ambergris.
ambergris |A substance of the consistence of wax, found floating in the Indian Ocean and other parts of the tropics, and also as a morbid secretion in the intestines of the sperm whale (Physeter macrocephalus), which is believed to be in all cases its true origin. In color it is white, ash-gray, yellow, or black, and often variegated like marble. The floating masses are sometimes from sixty to two hundred and twenty-five pounds in weight. It is wholly volatilized as a white vapor at 212º Fahrenheit, and is highly valued in perfumery. Dana.
ambes-as |Ambs-ace. [Obs.] Chaucer.
ambi- |A prefix meaning about, around; -- used in words derived from the Latin.
ambidexter |Using both hands with equal ease. Smollett.\n\n1. A person who uses both hands with equal facility. 2. Hence; A double-dealer; one equally ready to act on either side in party disputes. The rest are hypocrites, ambidexters, so many turning pictures -- a lion on one side, a lamb on the other. Burton. 3. (Law)  A juror who takes money from both parties for giving his verdict. Cowell.
ambidexterity |1. The quality of being ambidexas, ambidexterity of argumentation. Sterne. Ignorant I was of the human frame, and of its latent powers, as regarded speed, force, and ambidexterity. De Quincey. 2. Double-dealing. (Law)  A juror's taking of money from the both parties for a verdict.
ambidextral |Pertaining equally to the right-hand side and the left-hand side. Earle.
ambidextrous |1. Pertaining the faculty of using both hands with equal ease. Sir T. Browne. 2. Practicing or siding with both parties. All false, shuffling, and ambidextrous dealings. L'Estrange.
ambidextrously |In an ambidextrous manner; cunningly.
ambidextrousness |The quality of being ambidextrous; ambidexterity.
ambient |Encompassing on all sides; circumfused; investing. \"Ambient air.\" Milton. \"Ambient clouds.\" Pope.\n\nSomething that surrounds or invests; as, air . . . being a perpetual ambient. Sir H. Wotton.
ambigenous |Of two kinds. (Bot.)  Partaking of two natures, as the perianth of some endogenous plants, where the outer surface is calycine, and the inner petaloid.
ambigu |An entertainment at which a medley of dishes is set on at the same time.
ambiguity |The quality or state of being ambiguous; doubtfulness or uncertainty, particularly as to the signification of language, arising from its admitting of more than one meaning; an equivocal word or expression. No shadow of ambiguity can rest upon the course to be pursued. I. Taylor. The words are of single signification, without any ambiguity. South.
ambiguous |Doubtful or uncertain, particularly in respect to signification; capable of being understood in either of two or more possible senses; equivocal; as, an ambiguous course; an ambiguous expression. What have been thy answers What but dark, Ambiguous, and with double sense deluding Milton. Syn. -- Doubtful; dubious; uncertain; unsettled; indistinct; indeterminate; indefinite. See Equivocal.
ambiguously |In an ambiguous manner; with doubtful meaning.
ambiguousness |Ambiguity.
ambilevous |Left-handed on both sides; clumsy; -- opposed to ambidexter. [R.] Sir T. Browne.
ambiloquy |Doubtful or ambiguous language. [Obs.] Bailey.
ambiparous |Characterized by containing the rudiments of both flowers and leaves; -- applied to a bud.
ambit |Circuit or compass. His great parts did not live within a small ambit. Milward.
ambition |1. The act of going about to solicit or obtain an office, or any other object of desire; canvassing. [Obs.] [I] used no ambition to commend my deeds. Milton. 2. An eager, and sometimes an inordinate, desire for preferment, honor, superiority, power, or the attainment of something. Cromwell, I charge thee, fling a way ambition: By that sin fell the angels. Shak. The pitiful ambition of possessing five or six thousand more acres. Burke.\n\nTo seek after ambitiously or eagerly; to covet. [R.] Pausanias, ambitioning the sovereignty of Greece, bargains with Xerxes for his daughter in marriage. Trumbull.
ambitionist |One excessively ambitious. [R.]
ambitionless |Devoid of ambition. Pollok.
ambitious |1. Possessing, or controlled by, ambition; greatly or inordinately desirous of power, honor, office, superiority, or distinction. Yet Brutus says he was ambitious, And Brutus is an honorable man. Shak. 2. Strongly desirous; -- followed by of or the infinitive; as, ambitious to be or to do something. I was not ambitious of seeing this ceremony. Evelyn. Studious of song, and yet ambitious not to sing in vain. Cowper. 3. Springing from, characterized by, or indicating, ambition; showy; aspiring; as, an ambitious style. A giant statue . . . Pushed by a wild and artless race, From off wide, ambitious base. Collins.
ambitiously |In an ambitious manner.
ambitiousness |The quality of being ambitious; ambition; pretentiousness.
ambitus |1. The exterior edge or border of a thing, as the border of a leaf, or the outline of a bivalve shell. 2. (Rom. Antiq.)  A canvassing for votes.
amble |1. To go at the easy gait called an amble; -- applied to the horse or to its rider. 2. To move somewhat like an ambling horse; to go easily or without hard shocks. The skipping king, he ambled up and down. Shak. Sir, your wit ambles well; it goes easily. Shak.\n\n1. A peculiar gait of a horse, in which both legs on the same side are moved at the same time, alternating with the legs on the other side. \"A fine easy amble.\" B. Jonson. 2. A movement like the amble of a horse.
ambler |A horse or a person that ambles.
amblingly |With an ambling gait.
amblotic |Tending to cause abortion.
amblygon |An obtuse-angled figure, esp. and obtuse-angled triangle. [Obs.]
amblygonal |Obtuse-angled. [Obs.] Hutton.
amblyopia |Weakness of sight, without and opacity of the cornea, or of the interior of the eye; the first degree of amaurosis.
amblyopic |Of or pertaining to amblyopy. Quain.
amblyopy |Weakness of sight, without and opacity of the cornea, or of the interior of the eye; the first degree of amaurosis.
amblypoda |A group of large, extinct, herbivorous mammals, common in the Tertiary formation of the United States.
ambo |A large pulpit or reading desk, in the early Christian churches. Gwilt.
ambon |Same as Ambo.
amboyna button |A chronic contagious affection of the skin, prevalent in the tropics.
amboyna pine |The resiniferous tree Agathis Dammara, of the Moluccas.
amboyna wood |A beautiful mottled and curled wood, used in cabinetwork. It is obtained from the Pterocarpus Indicus of Amboyna, Borneo, etc.
ambreate |A salt formed by the combination of ambreic acid with a base or positive radical.
ambreic |Of or pertaining to ambrein; -- said of a certain acid produced by digesting ambrein in nitric acid.
ambrein |A fragrant substance which is the chief constituent of ambergris.
ambrite |A fossil resin occurring in large masses in New Zealand.
ambrose |A sweet-scented herb; ambrosia. See Ambrosia, 3. Turner.
ambrosia |1. (Myth.) (a) The fabled food of the gods (as nectar was their drink), which conferred immortality upon those who partook of it. (b) An unguent of the gods. His dewy locks distilled ambrosia. Milton. 2. A perfumed unguent, salve, or draught; something very pleasing to the taste or smell. Spenser. 3. Formerly, a kind of fragrant plant; now (Bot.), a genus of plants, including some coarse and worthless weeds, called ragweed, hogweed, etc.
ambrosia beetle |A bark beetle that feeds on ambrosia.
ambrosiac |Having the qualities of ambrosia; delicious. [R.]\"Ambrosiac odors.\" B. Jonson.
ambrosial |1. Consisting of, or partaking of the nature of, ambrosia; delighting the taste or smell; delicious. \"Ambrosial food.\" \"Ambrosial fragrance.\" Milton. 2. Divinely excellent or beautiful. \"Shakes his ambrosial curls.\" Pope.
ambrosially |After the manner of ambrosia; delightfully. \"Smelt ambrosially.\" Tennyson.
ambrosian |Ambrosial. [R.] . Jonson.\n\nOf or pertaining to St. Ambrose; as, the Ambrosian office, or ritual, a formula of worship in the church of Milan, instituted by St. Ambrose. Ambrosian chant, the mode of signing or chanting introduced by St. Ambrose in the 4th century.
ambrosin |An early coin struck by the dukes of Milan, and bearing the figure of St. Ambrose on horseback.
ambrotype |A picture taken on a place of prepared glass, in which the lights are represented in silver, and the shades are produced by a dark background visible through the unsilvered portions of the glass.
ambry |1. In churches, a kind of closet, niche, cupboard, or locker for utensils, vestments, etc. 2. A store closet, as a pantry, cupboard, etc. 3. Almonry. [Improperly so used]
ambs-ace |Double aces, the lowest throw of all at dice. Hence: Bad luck; anything of no account or value.
ambulacral |Of or pertaining to ambulacra; avenuelike; as, the ambulacral ossicles, plates, spines, and suckers of echinoderms.
ambulacriform |Having the form of ambulacra.
ambulacrum |(a) One of the radical zones of echinoderms, along which run the principal nerves, blood vessels, and water tubes. These zones usually bear rows of locomotive suckers or tentacles, which protrude from regular pores. In star fishes they occupy the grooves along the under side of the rays. (b) One of the suckers on the feet of mites.
ambulance |(a) A field hospital, so organized as to follow an army in its movements, and intended to succor the wounded as soon as possible. Often used adjectively; as, an ambulance wagon; ambulance stretcher; ambulance corps. (b) An ambulance wagon or cart for conveying the wounded from the field, or to a hospital.
ambulant |Walking; moving from place to place. Gayton.
ambulate |To walk; to move about. [R.] Southey.
ambulation |The act of walking. Sir T. Browne.
ambulative |Walking. [R.]
ambulator |1. One who walks about; a walker. 2. (Zoöl.) (a) A beetle of the genus Lamia. (b) A genus of birds, or one of this genus. 3. An instrument for measuring distances; -- called also perambulator. Knight.
ambulatorial |Ambulatory; fitted for walking. Verrill.
ambulatory |1. Of or pertaining to walking; having the faculty of walking; formed or fitted for walking; as, an ambulatory animal. 2. Accustomed to move from place to place; not stationary; movable; as, an ambulatory court, which exercises its jurisdiction in different places. The priesthood . . . before was very ambulatory, and dispersed into all families. Jer. Taylor. 3. Pertaining to a walk. [R.] The princess of whom his majesty had an ambulatory view in his travels. Sir H. Wotton. 4. (Law)  Not yet fixed legally, or settled past alteration; alterable; as, the dispositions of a will are ambulatory until the death of the testator.\n\nA place to walk in, whether in the open air, as the gallery of a cloister, or within a building.
amburry |Same as Anbury.
ambury |1. (Far.)  A soft tumor or bloody wart on horses or oxen. 2. A disease of the roots of turnips, etc.; -- called also fingers and toes.
ambuscade |1. A lying in a wood, concealed, for the purpose of attacking an enemy by surprise. Hence: A lying in wait, and concealed in any situation, for a like purpose; a snare laid for an enemy; an ambush. 2. A place in which troops lie hid, to attack an enemy unexpectedly. [R.] Dryden. 3. (Mil.)  The body of troops lying in ambush.\n\n1. To post or conceal in ambush; to ambush. 2. To lie in wait for, or to attack from a covert or lurking place; to waylay.\n\nTo lie in ambush.
ambuscado |Ambuscade. [Obs.] Shak.
ambuscadoed |Posted in ambush; ambuscaded. [Obs.]
ambush |1. A disposition or arrangement of troops for attacking an enemy unexpectedly from a concealed station. Hence: Unseen peril; a device to entrap; a snare. Heaven, whose high walls fear no assault or siege Or ambush from the deep. Milton. 2. A concealed station, where troops or enemies lie in wait to attack by surprise. Bold in close ambush, base in open field. Dryden. 3. The troops posted in a concealed place, for attacking by surprise; liers in wait. [Obs.] The ambush arose quickly out of their place. Josh. viii. 19. To lay an ambush, to post a force in ambush.\n\n1. To station in ambush with a view to surprise an enemy. By ambushed men behind their temple Dryden. 2. To attack by ambush; to waylay.\n\nTo lie in wait, for the purpose of attacking by surprise; to lurk. Nor saw the snake that ambushed for his prey. Trumbull.
ambusher |One lying in ambush.
ambushment |An ambush. [Obs.] 2 Chron. xiii. 13.
ambustion |A burn or scald. Blount.
amebean |See Am.
ameer |1. Emir. [Obs.] 2. One of the Mohammedan nobility of Afghanistan and Scinde.
amel |Enamel. [Obs.] Boyle.\n\nTo enamel. [Obs.] Enlightened all with stars, And richly ameled. Chapman.
amelcorn |A variety of wheat from which starch is produced; -- called also French rice.
ameliorable |Capable of being ameliorated.
ameliorate |To make better; to improve; to meliorate. In every human being there is a wish to ameliorate his own condition. Macaulay.\n\nTo grow better; to meliorate; as, wine ameliorates by age.
amelioration |The act of ameliorating, or the state of being ameliorated; making or becoming better; improvement; melioration. \"Amelioration of human affairs.\" J. S. Mill.
ameliorative |Tending to ameliorate; producing amelioration or improvement; as, ameliorative remedies, efforts.
ameliorator |One who ameliorates.
amen |An expression used at the end of prayers, and meaning, So be it. At the end of a creed, it is a solemn asseveration of belief. When it introduces a declaration, it is equivalent to truly, verily. It is used as a noun, to demote: (a) concurrence in belief, or in a statement; assent; (b) the final word or act; (c) Christ as being one who is true and faithful. And let all the people say, Amen. Ps. cvi. 48. Amen, amen, I say to thee, except a man be born again, he can not see the kingdom of God. John ii. 3. Rhemish Trans. To say amen to, to approve warmly; to concur in heartily or emphatically; to ratify; as, I say Amen to all.\n\nTo say Amen to; to sanction fully.
amenability |The quality of being amenable; amenableness. Coleridge.
amenable |1. (Old Law)  Easy to be led; governable, as a woman by her husband. [Obs.] Jacob. 2. Liable to be brought to account or punishment; answerable; responsible; accountable; as, amenable to law. Nor is man too diminutive . . . to be amenable to the divine government. I. Taylor. 3. Liable to punishment, a charge, a claim, etc. 4. Willing to yield or submit; responsive; tractable. Sterling . . . always was amenable enough to counsel. Carlyle.
amenableness |The quality or state of being amenable; liability to answer charges; answerableness.
amenably |In an amenable manner.
amenage |To manage. [Obs.] Spenser.
amenance |Behavior; bearing. [Obs.] Spenser.
amend |To change or modify in any way for the better; as, (a) by simply removing what is erroneous, corrupt, superfluous, faulty, and the like; (b) by supplying deficiencies; (c) by substituting something else in the place of what is removed; to rectify. Mar not the thing that can not be amended. Shak. An instant emergency, granting no possibility for revision, or opening for amended thought. De Quincey. We shall cheer her sorrows, and amend her blood, by wedding her to a Norman. Sir W. Scott. To amend a bill, to make some change in the details or provisions of a bill or measure while on its passage, professedly for its improvement. Syn. -- To Amend, Emend, Correct, Reform, Rectify. These words agree in the idea of bringing things into a more perfect state. We correct (literally, make straight) when we conform things to some standard or rule; as, to correct proof sheets. We amend by removing blemishes, faults, or errors, and thus rendering a thing more a nearly perfect; as, to amend our ways, to amend a text, the draft of a bill, etc. Emend is only another form of amend, and is applied chiefly to editions of books, etc. To reform is literally to form over again, or put into a new and better form; as, to reform one's life. To rectify is to make right; as, to rectify a mistake, to rectify abuses, inadvertencies, etc.\n\nTo grow better by rectifying something wrong in manners or morals; to improve. \"My fortune . . . amends.\" Sir P. Sidney.
amendable |Capable of being amended; as, an amendable writ or error. -- A*mend\"a*ble*ness, n.
amendatory |Supplying amendment; corrective; emendatory. Bancroft.
amende |A pecuniary punishment or fine; a reparation or recantation. Amende honorable(#). (Old French Law) A species of infamous punishment in which the offender, being led into court with a rope about his neck, and a lighted torch in his hand, begged pardon of his God, the court, etc. In popular language, the phrase now denotes a public apology or recantation, and reparation to an injured party, for improper language or treatment.
amender |One who amends.
amendful |Much improving. [Obs.]
amendment |1. An alteration or change for the better; correction of a fault or of faults; reformation of life by quitting vices. 2. In public bodies; Any alternation made or proposed to be made in a bill or motion by adding, changing, substituting, or omitting. 3. (Law)  Correction of an error in a writ or process. Syn. -- Improvement; reformation; emendation.
amends |Compensation for a loss or injury; recompense; reparation. [Now const. with sing. verb.] \"An honorable amends.\" Addison. Yet thus far fortune maketh us amends. Shak.
amenity |The quality of being pleasant or agreeable, whether in respect to situation, climate, manners, or disposition; pleasantness; civility; suavity; gentleness. A sweetness and amenity of temper. Buckle. This climate has not seduced by its amenities. W. Howitt.
amenorrhoea |Retention or suppression of the menstrual discharge.
amenorrhoeal |Pertaining to amenorrhoea.
ament |A species of inflorescence; a catkin. The globular ament of a buttonwood. Coues.
amentaceous |(a) Resembling, or consisting of, an ament or aments; as, the chestnut has an amentaceous inflorescence. (b) Bearing aments; having flowers arranged in aments; as, amentaceous plants.
amentia |Imbecility; total want of understanding.
amentiferous |Bearing catkins. Balfour.
amentiform |Shaped like a catkin.
amentum |Same as Ament.
amenuse |To lessen. [Obs.] Chaucer.
amerce |1. To punish by a pecuniary penalty, the amount of which is not fixed by law, but left to the discretion of the court; as, the amerced the criminal in the sum on the hundred dollars. Note: The penalty of fine may be expressed without a preposition, or it may be introduced by in, with, or of. 2. To punish, in general; to mulct. Millions of spirits for his fault amerced Of Heaven. Milton. Shall by him be amerced with penance due. Spenser.
amerceable |Liable to be amerced.
amercement |The infliction of a penalty at the discretion of the court; also, a mulct or penalty thus imposed. It differs from a fine,in that the latter is, or was originally, a fixed and certain sum prescribed by statue for an offense; but an amercement is arbitrary. Hence, the act or practice of affeering. [See Affeer.] Blackstone. Note: This word, in old books, is written amerciament. Amercement royal, a penalty imposed on an officer for a misdemeanor in his office. Jacobs.
amercer |One who amerces.
amerciament |Same as Amercement. Mozley & W.
american |1. Of or pertaining to America; as, the American continent: American Indians. 2. Of or pertaining to the United States. \"A young officer of the American navy.\" Lyell. American ivy. See Virginia creeper. -- American Party (U. S. Politics), a party, about 1854, which opposed the influence of foreign-born citizens, and those supposed to owe allegiance to a foreign power. -- Native american Party (U. S. Politics), a party of principles similar to those of the American party. It arose about 1843, but soon died out.\n\nA native of America; -- originally applied to the aboriginal inhabitants, but now applied to the descendants of Europeans born in America, and especially to the citizens of the United States. The name American must always exalt the pride of patriotism. Washington.
american plan |In hotels, aplan upon which guests pay for both room and board by the day, week, or other convenient period; -- contrasted with European plan.
american protective association |A secret organization in the United States, formed in Iowa in 1887, ostensibly for the protection of American institutions by keeping Roman Catholics out of public office. Abbrev. commonly to A. P .A.
americanism |1. Attachment to the United States. 2. A custom peculiar to the United States or to America; an American characteristic or idea. 3. A word or phrase peculiar to the United States.
americanization |The process of Americanizing.
americanize |To render American; to assimilate to the Americans in customs, ideas, etc.; to stamp with American characteristics.
ames-ace |Same as Ambs-ace.
amess |Amice, a hood or cape. See 2d Amice.
ametabola |A group of insects which do not undergo any metamorphosis. [Written also Ametabolia.]
ametabolian |Of or pertaining to insects that do undergo any metamorphosis.
ametabolic |Not undergoing any metamorphosis; as, ametabolic insects.
