hogpen |A pen or sty for hogs.
hold |The whole interior portion of a vessel below the lower deck, in which the cargo is stowed.\n\n1. To cause to remain in a given situation, position, or relation, within certain limits, or the like; to prevent from falling or escaping; to sustain; to restrain; to keep in the grasp; to retain. The loops held one curtain to another. Ex. xxxvi. 12. Thy right hand shall hold me. Ps. cxxxix. 10. They all hold swords, being expert in war. Cant. iii. In vain he seeks, that having can not hold. Spenser. France, thou mayst hold a serpent by the tongue, . . . A fasting tiger safer by the tooth, Than keep in peace that hand which thou dost hold. Shak. 2. To retain in one's keeping; to maintain possession of, or authority over; not to give up or relinquish; to keep; to defend. We mean to hold what anciently we claim Of deity or empire. Milton. 3. To have; to possess; to be in possession of; to occupy; to derive title to; as, to hold office. This noble merchant held a noble house. Chaucer. Of him to hold his seigniory for a yearly tribute. Knolles. And now the strand, and now the plain, they held. Dryden. 4. To impose restraint upon; to limit in motion or action; to bind legally or morally; to confine; to restrain. We can not hold mortality's strong hand. Shak. Death! what do'st O,hold thy blow. Grashaw. He hat not sufficient judgment and self-command to hold his tongue. Macaulay. 5. To maintain in being or action; to carry on; to prosecute, as a course of conduct or an argument; to continue; to sustain. Hold not thy peace, and be not still. Ps. lxxxiii. 1. Seedtime and harvest, heat and hoary frost, Shall hold their course. Milton. 6. To prosecute, have, take, or join in, as something which is the result of united action; as to, hold a meeting, a festival, a session, etc.; hence, to direct and bring about officially; to conduct or preside at; as, the general held a council of war; a judge holds a court; a clergyman holds a service. I would hold more talk with thee. Shak. 7. To receive and retain; to contain as a vessel; as, this pail holds milk; hence, to be able to receive and retain; to have capacity or containing power for. Broken cisterns that can hold no water. Jer. ii. 13. One sees more devils than vast hell can hold. Shak. 8. To accept, as an opinion; to be the adherent of, openly or privately; to persist in, as a purpose; to maintain; to sustain. Stand fast and hold the traditions which ye have been taught. 2 Thes. ii.15. But still he held his purpose to depart. Dryden. 9. To consider; to regard; to esteem; to account; to think; to judge. I hold him but a fool. Shak. I shall never hold that man my friend. Shak. The Lord will not hold him guiltless that taketh his name in vain. Ex. xx. 7. 10. To bear, carry, or manage; as he holds himself erect; he holds his head high. Let him hold his fingers thus. Shak. To hold a wager, to lay or hazard a wager. Swift. -- To hold forth, to offer; to exhibit; to propose; to put forward. \"The propositions which books hold forth and pretend to teach.\" Locke. -- To held in, to restrain; to curd. -- To hold in hand, to toy with; to keep in expectation; to have in one's power. [Obs.] O, fie! to receive favors, return falsehoods, And hold a lady in hand. Beaw. & Fl. --To hold in play, to keep under control; to dally with. Macaulay. -- To hold off, to keep at a distance. -- To hold on, to hold in being, continuance or position; as, to hold a rider on. -- To hold one's day, to keep one's appointment. [Obs.] Chaucer. -- To hold one's own. (a) To keep good one's present condition absolutely or relatively; not to fall off, or to lose ground; as, a ship holds her own when she does not lose ground in a race or chase; a man holds his own when he does not lose strength or weight. -- To hold one's peace, to keep silence.- To hold out. (a) To extend; to offer. \"Fortune holds out these to you as rewards.\" B. Jonson. (b) To continue to do or to suffer; to endure. \"He can not long hold out these pangs.\" Shak. -- To hold up. (a) To raise; to lift; as, hold up your head. (b) To support; to sustain. \"He holds himself up in virtue.\"Sir P. Sidney. (c) To exhibit; to display; as, he was held up as an example. (d) To rein in; to check; to halt; as, hold up your horses. -- To hold water. (a) Literally, to retain water without leaking; hence (Fig.), to be whole, sound, consistent, without gaps or holes; -- commonly used in a negative sense; as, his statements will not hold water. [Collog.] (b) (Naut.) To hold the oars steady in the water, thus checking the headway of a boat.\n\nIn general, to keep one's self in a given position or condition; to remain fixed. Hence: 1. Not to more; to halt; to stop;-mostly in the imperative. And damned be him that first cries, \"Hold, enough!\" Shak. 2. Not to give way; not to part or become separated; to remain unbroken or unsubdued. Our force by land hath nobly held. Shak. 3. Not to fail or be found wanting; to continue; to last; to endure a test or trial; to abide; to persist. While our obedience holds. Milton. The rule holds in land as all other commodities. Locke. 4. Not to fall away, desert, or prove recreant; to remain attached; to cleave;-often with with, to, or for. He will hold to the one and despise the other. Matt. vi. 24 5. To restrain one's self; to refrain. His dauntless heart would fain have held From weeping, but his eyes rebelled. Dryden. 6. To derive right or title; -- generally with of. My crown is absolute, and holds of none. Dryden. His imagination holds immediately from nature. Hazlitt. Hold on! Hold up! wait; stop; forbear. [Collog] -- To hold forth, to speak in public; to harangue; to preach. L'Estrange. -- To hold in, to restrain one's self; as, he wanted to laugh and could hardly hold in. -- To hold off, to keep at a distance. -- To hold on, to keep fast hold; to continue; to go on. \"The trade held on for many years,\" Swift. -- To hold out, to last; to endure; to continue; to maintain one's self; not to yield or give way. -- To hold over, to remain in office, possession, etc., beyond a certain date. -- To hold to or with, to take sides with, as a person or opinion. -- To hold together, to be joined; not to separate; to remain in union. Dryden. Locke. -- To hold up. (a) To support one's self; to remain unbent or unbroken; as, to hold up under misfortunes. (b) To cease raining; to cease to stop; as, it holds up. Hudibras. (c) To keep up; not to fall behind; not to lose ground. Collier.\n\n1. The act of holding, as in or with the hands or arms; the manner of holding, whether firm or loose; seizure; grasp; clasp; gripe; possession; -- often used with the verbs take and lay. Ne have I not twelve pence within mine hold. Chaucer. Thou should'st lay hold upon him. B. Jonson. My soul took hold on thee. Addison. Take fast hold of instruction. Pror. iv. 13. 2. The authority or ground to take or keep; claim. The law hath yet another hold on you. Shak. 3. Binding power and influence. Fear . . . by which God and his laws take the surest hold of. Tillotson. 4. Something that may be grasped; means of support. If a man be upon an high place without rails or good hold, he is ready to fall. Bacon. 5. A place of confinement; a prison; confinement; custody; guard. They . . . put them in hold unto the next day. Acts. iv. 3. King Richard, he is in the mighty hold Of Bolingbroke. Shak. 6. A place of security; a fortified place; a fort; a castle; -- often called a stronghold. Chaucer. New comers in an ancient hold Tennyson. 7. (Mus.)  A character [thus pause, and corona.
holdback |1. Check; hindrance; restraint; obstacle. The only holdback is the affection . . . that we bear to our wealth. Hammond. 2. The projection or loop on the thill of a vehicle. to which a strap of the harness is attached, to hold back a carriage when going down hill, or in backing; also, the strap or part of the harness so used.
holder |One who is employed in the hold of a vessel.\n\n1. One who, or that which, holds. 2. One who holds land, etc., under another; a tenant. 3. (Com.)  The payee of a bill of exchange or a promissory note, or the one who owns or holds it. Note: Holder is much used as the second part of a compound; as, shareholder, officeholder, stockholder,etc.
holder-forth |One who speaks in public; an haranguer; a preacher. Addison.
holdfast |1. Something used to secure and hold in place something else, as a long fiat-headed nail, a catch a hook, a clinch, a clamp, etc.; hence, a support. \"His holdfast was gone.\" Bp. Montagu. 2. (Bot.)  A conical or branching body, by which a seaweed is attached to its support, and differing from a root in that it is not specially absorbent of moisture.
holding |1. The act or state of sustaining, grasping, or retaining. 2. A tenure; a farm or other estate held of another. 3. That which holds, binds, or influences. Burke. 4. The burden or chorus of a song. [Obs.] Shak. Holding note (Mus.), a note sustained in one part, while the other parts move.
hole |Whole. [Obs.] Chaucer.\n\n1. A hollow place or cavity; an excavation; a pit; an opening in or through a solid body, a fabric, etc.; a perforation; a rent; a fissure. The holes where eyes should be. Shak. The blind walls Were full of chinks and holes. Tennyson. The priest took a chest, and bored a hole in the lid. 2 Kings xii. 9. 2. An excavation in the ground, made by an animal to live in, or a natural cavity inhabited by an animal; hence, a low, narrow, or dark lodging or place; a mean habitation. Dryden. The foxes have holes, . . . but the Son of man hath not where to lay his head. Luke ix. 58. Syn. -- Hollow; concavity; aperture; rent; fissure; crevice; orifice; interstice; perforation; excavation; pit; cave; den; cell. Hole and corner, clandestine, underhand. [Colloq.] \"The wretched trickery of hole and corner buffery. \" Dickens. -- Hole board (Fancy Weaving), a board having holes through which cords pass which lift certain warp threads; -- called also compass board.\n\n1. To cut, dig, or bore a hole or holes in; as, to hole a post for the insertion of rails or bars. Chapman. 2. To drive into a hole, as an animal, or a billiard ball.\n\nTo go or get into a hole. B. Jonson.
hole in the air |= Air hole, above.
holethnic |Of or pertaining to a holethnos or parent race. The holethnic history of the Arians. London Academy.
holethnos |A parent stock or race of people, not yet divided into separate branches or tribes.
holibut |See Halibut.
holidam |See Halidom.
holiday |1. A consecrated day; religious anniversary; a day set apart in honor of some person, or in commemoration of some event. See Holyday. 2. A day of exemption from labor; a day of amusement and gayety; a festival day. And young and old come forth to play On a sunshine holiday. Milton. 3. (Law)  A day fixed by law for suspension of business; a legal holiday. Note: In the United States legal holidays, so called, are determined by law, commonly by the statutes of the several States. The holidays most generally observed are: the 22d day of February (Washington's birthday), the 30th day of May (Memorial day), the 4th day of July (Independence day), the 25th day of December (Christmas day). In most of the States the 1st day of January is a holiday. When any of these days falls on Sunday, usually the Monday following is observed as the holiday. In many of the States a day in the spring (as Good Friday, or the first Thursday in April), and a day in the fall (as the last Thursday in November) are now regularly appointed by Executive proclamation to be observed, the former as a day of fasting and prayer, the latter as a day of thanksgiving and are kept as holidays. In England, the days of the greater church feasts (designated in the calendar by a red letter, and commonly called red-letter days) are observed as general holidays. Bank holidays are those on which, by act of Parliament, banks may suspend business. Although Sunday is a holiday in the sense of a day when business is legally suspended, it is not usually included in the general term, the phrase \"Sundays and holidays\" being more common. The holidays, any fixed or usual period for relaxation or festivity; especially, Christmas and New Year's day with the intervening time.\n\n1. Of or pertaining to a festival; cheerful; joyous; gay. Shak. 2. Occurring rarely; adapted for a special occasion. Courage is but a holiday kind of virtue, to be seldom exercised. Dryden.
holily |1. Piously; with sanctity; in a holy manner. 2. Sacredly; inviolably. [R.] Shak.
holiness |1. The state or quality of being holy; perfect moral integrity or purity; freedom from sin; sanctity; innocence. Who is like thee, glorious in holiness! Ex. xv. 11. 2. The state of being hallowed, or consecrated to God or to his worship; sacredness. Israel was holiness unto the Lord. Jer.ii.3. His holiness, a title of the pope; -- formerly given also to Greek bishops and Greek emperors. Syn. -- Piety; devotion; godliness; sanctity; sacredness; righteousness.
holing |Undercutting in a bed of coal, in order to bring down the upper mass. Raymond.
holla |Hollo.\n\nSee Hollo, v. i.
holland |A kind of linen first manufactured in Holland; a linen fabric used for window shades, children's garments, etc.; as, brown or unbleached hollands.
hollandaise |A sauce consisting essentially of a seasoned emulsion of butter and yolk of eggs with a little lemon juice or vinegar.
hollandaise sauce |A sauce consisting essentially of a seasoned emulsion of butter and yolk of eggs with a little lemon juice or vinegar.
hollander |1. A native or one of the people of Holland; a Dutchman. 2. A very hard, semi-glazed, green or dark brown brick, which will not absorb water; -- called also, Dutch clinker. Wagner.
hollandish |Relating to Holland; Dutch.
hollands |1. Gin made in Holland. 2. pl.  See Holland.
hollo |Ho there; stop; attend; hence, a loud cry or a call to attract attention; a halloo. And every day, for food or play, Came to the mariner's hollo. Coleridge.\n\nTo call out or exclaim; to halloo.
holloa |Same as Hollo.
hollow |1. Having an empty space or cavity, natural or artificial, within a solid substance; not solid; excavated in the interior; as, a hollow tree; a hollow sphere. Hollow with boards shalt thou make it. Ex. xxvii. 8.. 2. Depressed; concave; gaunt; sunken. With hollow eye and wrinkled brow. Shak. 3. Reverberated from a cavity, or resembling such a sound; deep; muffled; as, a hollow roar. Dryden. 4. Not sincere or faithful; false; deceitful; not sound; as, a hollow heart; a hollow friend. Milton. Hollow newel (Arch.), an opening in the center of a winding staircase in place of a newel post, the stairs being supported by the wall; an open newel; also, the stringpiece or rail winding around the well of such a staircase. -- Hollow quoin (Engin.), a pier of stone or brick made behind the lock gates of a canal, and containing a hollow or recess to receive the ends of the gates. -- Hollow root. (Bot.) See Moschatel. -- Hollow square. See Square. -- Hollow ware, hollow vessels; -- a trade name for cast-iron kitchen utensils, earthenware, etc. Syn.- Concave; sunken; low; vacant; empty; void; false; faithless; deceitful; treacherous.\n\n1. A cavity, natural or artificial; an unfilled space within anything; a hole, a cavern; an excavation; as the hollow of the hand or of a tree. 2. A low spot surrounded by elevations; a depressed part of a surface; a concavity; a channel. Forests grew Upon the barren hollows. Prior. I hate the dreadful hollow behind the little wood. Tennyson.\n\nTo make hollow, as by digging, cutting, or engraving; to excavate. \"Trees rudely hollowed.\" Dryden.\n\nWholly; completely; utterly; -- chiefly after the verb to beat, and often with all; as, this story beats the other all hollow. See All, adv. [Collog.] The more civilized so-called Caucasian races have beaten the Turks hollow in the struggle for existence. Darwin.\n\nHollo.\n\nTo shout; to hollo. Whisperings and hollowings are alike to a deaf ear. Fuller.\n\nTo urge or call by shouting. He has hollowed the hounds. Sir W. Scott.
hollow-hearted |Insincere; deceitful; not sound and true; having a cavity or decayed spot within. Syn. -- Faithless; dishonest; false; treacherous.
hollow-horned |Having permanent horns with a bony core, as cattle.
hollowly |Insincerely; deceitfully. Shak.
hollowness |1. State of being hollow. Bacon. 2. Insincerity; unsoundness; treachery. South.
holluschickie |A young male fur seal, esp. one from three to six years old; -- called also bachelor, because prevented from breeding by the older full-grown males. The holluschickie are the seals that may legally be killed for their skins. But he'll lie down on the killing grounds where the holluschickie go. Kipling.
holly |Wholly. [Obs.] Chaucer.\n\n1. (Bot.)  A tree or shrub of the genus Ilex. The European species (Ilex Aguifolium) is best known, having glossy green leaves, with a spiny, waved edge, and bearing berries that turn red or yellow about Michaelmas. Note: The holly is much used to adorn churches and houses, at Christmas time, and hence is associated with scenes of good will and rejoicing. It is an evergreen tree, and has a finegrained, heavy, white wood. Its bark is used as a febrifuge, and the berries are violently purgative and emetic. The American holly is the Ilex opaca, and is found along the coast of the United States, from Maine southward. Gray. 2. (Bot.)  The holm oak. See 1st Holm. Holly-leaved oak (Bot.), the black scrub oak. See Scrub oak. -- Holly rose (Bot.), a West Indian shrub, with showy, yellow flowers (Turnera ulmifolia). -- Sea holly (Bot.), a species of Eryngium. See Eryngium.
hollyhock |A species of Althæa (A. rosea), bearing flowers of various colors; -- called also rose mallow.
holm |A common evergreen oak, of Europe (Quercus Ilex); -- called also ilex, and holly.\n\n1. An islet in a river. J. Brand. 2. Low, flat land. Wordsworth. The soft wind blowing over meadowy holms. Tennyson. Holm thrush (Zoöl.), the missel thrush.
holmia |An oxide of holmium.
holmium |A rare element said to be contained in gadolinite. -- Hol\"mic, a.
holmos |A name given to a vase having a rounded body; esp.: (a) A closed vessel of nearly spherical form on a high stem or pedestal. Fairholt. (b) A drinking cup having a foot and stem.
holo- |A combining form fr. Gr. \"o`los whole.
holoblast |an ovum composed entirely of germinal matter. See Meroblast.
holoblastic |Undergoing complete segmentation; composed entirely of germinal matter, the whole of the yolk undergoing fission; -- opposed to meroblastic.
holocaust |1. A burnt sacrifice; an offering, the whole of which was consumed by fire, among the Jews and some pagan nations. Milton. 2. Sacrifice or loss of many lives, as by the burning of a theater or a ship. Note: [An extended use not authorized by careful writers.]
holocephali |An order of elasmobranch fishes, including, among living species, only the chimæras; -- called also Holocephala. See Chimæra; also Illustration in Appendix.
holocryptic |Wholly or completely concealing; incapable of being deciphered. Holocryptic cipher, a cipher so constructed as to afford no clew to its meaning to one ignorant of the key.
holocrystalline |Completely crystalline; -- said of a rock like granite, all the constituents of which are crystalline.
holograph |A document, as a letter, deed, or will, wholly in the handwriting of the person from whom it proceeds and whose act it purports to be.
holographic |Of the nature of a holograph; pertaining to holographs.
holohedral |Having all the planes required by complete symmetry, -- in opposition to hemihedral.
holohemihedral |Presenting hemihedral forms, in which all the sectants have halt the whole number of planes. Dana.
holometabola |Those insects which have a complete metamorphosis; metabola.
holometabolic |Having a complete metamorphosis;-said of certain insects, as the butterflies and bees.
holometer |An instrument for making of angular measurements.
holophanerous |Same as Holometabolic.
holophotal |Causing no loss of light; -- applied to reflectors which throw back the rays of light without perceptible loss.
holophote |A lamp with lenses or reflectors to collect the rays of light and throw them in a given direction; -- used in lighthouses.
holophrastic |Expressing a phrase or sentence in a single word, -- as is the case in the aboriginal languages of America.
holophytic |Wholly or distinctively vegetable. Holophytic nutrition (, that form of nutrition, characteristic of vegetable organisms, in which carbonic acid, ammonia, and nitrates are absorbed as food, in distinction from the animal mode of nutrition, by the ingestion of albuminous matter.
holorhinal |Having the nasal bones contiguous.
holosiderite |Meteoric iron; a meteorite consisting of metallic iron without stony matter.
holostean |Pertaining to the Holostei.
holostei |An extensive division of ganoids, including the gar pike, bowfin, etc.; the bony ganoids. See Illustration in Appendix.
holosteric |Wholly solid; -- said of a barometer constructed of solid materials to show the variations of atmospheric pressure without the use of liquids, as the aneroid.
holostomata |An artificial division of gastropods, including those that have an entire aperture.
holostomate |Same as Holostomatous.
holostomatous |Having an entire aperture; -- said of many univalve shells.
holostome |One of the Holostomata.
holostraca |A division of phyllopod Crustacea, including those that are entirely covered by a bivalve shell.
holothure |A holothurian.
holothurian |( -- n.  One of the Holothurioidea. Note: Some of the species of Holothurians are called sea cucumbers, sea slugs, trepang, and bêche de mèr. Many are used as food, esp. by the Chinese. See Trepang.
holothurioidea |One of the classes of echinoderms. Note: They have a more or less elongated body, often flattened beneath, and a circle of tentacles, which are usually much branched, surrounding the mouth; the skin is more or less flexible, and usually contains calcareous plates of various characteristic forms, sometimes becoming large and scalelike. Most of the species have five bands (ambulacra) of sucker-bearing feet along the sides; in others these are lacking. In one group (Pneumonophora) two branching internal gills are developed; in another (Apneumona) these are wanting. Called also Holothurida, Holothuridea, and Holothuroidea.
holotricha |A group of ciliated Infusoria, having cilia all over the body.
holour |A whoremonger. [Obs.] Chaucer.
holp |imp. & p. p. of Help. [Obs.] Shak.
holpen |imp. & p. p. of Help. [Obs.] Shak.
holsom |Wholesome. [Obs.] Chaucer.
holstein |One of a breed of cattle, originally from Schleswig-Holstein, valued for the large amount of milk produced by the cows. The color is usually black and white in irregular patches.
holster |A leather case for a pistol, carried by a horseman at the bow of his saddle.
holstered |Bearing holsters. Byron.
holt |3d pers. sing. pres. of Hold, contr. from holdeth. [Obs.] Chaucer.\n\n1. A piece of woodland; especially, a woody hill. \"Every holt and heath.\" Chaucer. She sent her voice though all the holt Before her, and the park. Tennyson. 2. A deep hole in a river where there is protection for fish; also, a cover, a hole, or hiding place. \" The fox has gone to holt.\" C. Kingsley.
holwe |Hollow. [Obs.] Chaucer.
holy |1. Set apart to the service or worship of God; hallowed; sacred; reserved from profane or common use; holy vessels; a holy priesthood. \"Holy rites and solemn feasts.\" Milton. 2. Spiritually whole or sound; of unimpaired innocence and virtue; free from sinful affections; pure in heart; godly; pious; irreproachable; guiltless; acceptable to God. Now through her round of holy thought The Church our annual steps has brought. Keble. Holy Alliance (Hist.), a league ostensibly for conserving religion, justice, and peace in Europe, but really for repressing popular tendencies toward constitutional government, entered into by Alexander I. of Russia, Francis I. of Austria, and Frederic William III. of Prussia, at Paris, on the 26th of September, 1815, and subsequently joined by all the sovereigns of Europe, except the pope and the king of England. -- Holy bark. See Cascara sagrada. -- Holy Communion. See Eucharist. -- Holy family (Art), a picture in which the infant Christ, his parents, and others of his family are represented. -- Holy Father, a title of the pope. -- Holy Ghost (Theol.),the third person of the Trinity; the Comforter; the Paraclete. -- Holy Grail. See Grail. -- Holy grass (Bot.), a sweet-scented grass (Hierochloa borealis and H. alpina). In the north of Europe it was formerly strewed before church doors on saints' days; whence the name. It is common in the northern and western parts of the United States. Called also vanilla, or Seneca, grass. -- Holy Innocents' day, Childermas day. -- Holy Land, Palestine, the birthplace of Christianity. -- Holy office, the Inquisition. -- Holy of holies (Script.), the innermost apartment of the Jewish tabernacle or temple, where the ark was kept, and where no person entered, except the high priest once a year. -- Holy One. (a) The Supreme Being; -- so called by way of emphasis. \" The Holy One of Israel.\" Is. xliii. 14. (b) One separated to the service of God. -- Holy orders. See Order. -- Holy rood, the cross or crucifix, particularly one placed, in churches. over the entrance to the chancel. -- Holy rope, a plant, the hemp agrimony. -- Holy Saturday (Eccl.), the Saturday immediately preceding the festival of Easter; the vigil of Easter. -- Holy Spirit, same as Holy Ghost (above). -- Holy Spirit plant. See Dove plant. -- Holy thistle (Bot.), the blessed thistle. See under Thistle. -- Holy Thursday. (Eccl.) (a) (Episcopal Ch.) Ascension day. (b) (R. C. Ch.) The Thursday in Holy Week; Maundy Thursday. -- Holy war, a crusade; an expedition carried on by Christians against the Saracens in the Holy Land, in the eleventh, twelfth, and thirteenth centuries, for the possession of the holy places. -- Holy water (Gr. & R. C. Churches), water which has been blessed by the priest for sacred purposes. -- Holy-water stoup, the stone stoup or font placed near the entrance of a church, as a receptacle for holy water. -- Holy Week (Eccl.), the week before Easter, in which the passion of our Savior is commemorated. -- Holy writ, the sacred Scriptures. \" Word of holy writ.\" Wordsworth.
holy cross |The cross as the symbol of Christ's crucifixion. Congregation of the Holy Cross (R. C. Ch.), a community of lay brothers and priests, in France and the United States, engaged chiefly in teaching and manual Labor. Originally called Brethren of St. Joseph. The Sisters of the Holy Cross engage in similar work. Addis & Arnold. -- Holy-cross day, the fourteenth of September, observed as a church festival, in memory of the exaltation of our Savior's cross.
holyday |1. A religious festival. 2. A secular festival; a holiday. Note: Holiday is the preferable and prevailing spelling in the second sense. The spelling holy day or holyday in often used in the first sense.
holystone |A stone used by seamen for scrubbing the decks of ships. Totten.\n\nTo scrub with a holystone, as the deck of a vessel.
homacanth |Having the dorsal fin spines symmetrical, and in the same line; -- said of certain fishes.
homage |1. (Feud. Law)  A symbolical acknowledgment made by a feudal tenant to, and in the presence of, his lord, on receiving investiture of fee, or coming to it by succession, that he was his man, or vassal; profession of fealty to a sovereign. 2. Respect or reverential regard; deference; especially, respect paid by external action; obeisance. All things in heaven and earth do her [Law] homage. Hooker. I sought no homage from the race that write. Pope. 3. Reverence directed to the Supreme Being; reverential worship; devout affection. Chaucer. Syn. -- Fealty; submission; reverence; honor; respect. -- Homage, Fealty. Homage was originally the act of a feudal tenant by which he declared himself, on his knees, to be the hommage or bondman of the lord; hence the term is used to denote reverential submission or respect. Fealty was originally the fidelity of such a tenant to his lord, and hence the term denotes a faithful and solemn adherence to the obligations we owe to superior power or authority. We pay our homage to men of preëminent usefulness and virtue, and profess our fealty to the principles by which they have been guided. Go, go with homage yon proud victors meet ! Go, lie like dogs beneath your masters' feet ! Dryden. Man, disobeying, Disloyal, breaks his fealty, and sins Against the high supremacy of heaven. Milton.\n\n1. To pay reverence to by external action. [R.] 2. To cause to pay homage. [Obs.] Cowley.
homageable |Subject to homage. Howell.
homager |One who does homage, or holds land of another by homage; a vassal. Bacon.
homalographic |Same as Homolographic.
homaloid |Flat; even; -- a term applied to surfaces and to spaces, whether real or imagined, in which the definitions, axioms, and postulates of Euclid respecting parallel straight lines are assumed to hold true.
homaloidal |Flat; even; -- a term applied to surfaces and to spaces, whether real or imagined, in which the definitions, axioms, and postulates of Euclid respecting parallel straight lines are assumed to hold true.
homarus |A genus of decapod Crustacea, including the common lobsters. -- Hom\"a*roid, a.
homatropine |An alkaloid, prepared from atropine, and from other sources. It is chemically related to atropine, and is used for the same purpose.
homaxonial |Relating to that kind of homology or symmetry, the mathematical conception of organic form, in which all axes are equal. See under Promorphology.
